"","V1","V2","V3","V4"
"sig_1",25.6256281700051,-11.2362001937014,-8.8340927878718,41.9597207095162
"sig_2",-6.6962027381953,-7.04421585548572,2.417274725052,-23.2506153391405
"sig_3",-20.3329534262296,6.56331897473874,2.22424544505388,-12.2365806127173
"sig_4",-15.8056006907824,-16.5120821990398,59.199586264238,69.2224285095007
"sig_5",-4.3984555469505,2.6716147894789,5.064035125934,-6.93317475005533
"sig_6",-37.5587984132455,64.3669549587074,50.1362196518447,-192.306414036371
"sig_7",-4.0190214131098,16.4637331633564,-10.6284198613349,-5.36057760349764
"sig_8",7.46236347531561,6.22970704275536,-7.99677639244496,65.0807440725068
"sig_9",-0.44787351388492,4.96103703665411,6.52822455041755,-10.4790580005204
"sig_10",14.3835143974201,-85.8367336815434,-117.968507492457,93.3701522379348
"sig_11",24.5532281043284,354.933890084435,485.672307508145,-456.186327429702
"sig_12",23.1341545653338,-6.08222070677534,-36.3286631931897,38.4771756750612
"sig_13",33.9013985114941,-11.6832291881885,-11.0792895302188,12.9616508230232
"sig_14",44.0439672395543,-62.8381708303502,-378.509711493971,269.390091279345
"sig_15",1.32626599037118,-6.6253728044377,-3.6984329080957,6.09407098691314
"sig_16",23.4926135889628,-4.17899886833224,-15.5837218462941,21.5085120533626
"sig_17",-103.975051831175,-306.568526972629,-157.034266030385,169.613303931741
"sig_18",40.870033878529,-50.7148761480277,-30.8912241388841,130.652039977855
"sig_19",-13.0758797196673,13.3450513178962,16.5895746690063,-15.9480647043002
"sig_20",5.67765625486226,-1.7331270667944,-3.85451892767512,13.5717562196905
"sig_21",8.43335071749293,-4.08518514817198,-4.58163986290826,13.9582587602085
"sig_22",12.2528145410768,-8.07408119924088,-77.5685767059606,10.3995704931232
"sig_23",-10.5833894728189,117.433942459654,101.742235080719,-138.356372499256
"sig_24",-16.7393989519976,3.46112053060514,56.3957114882676,-8.88392054403026
"sig_25",-26.0153191914809,8.47678243789095,18.245377900765,-37.5559286172008
"sig_26",12.6814545779561,-28.8713132251216,0.132063391945138,52.2718212963344
"sig_27",1.35855344759153,-9.56599311245885,-8.05409507668376,11.6071532360813
"sig_28",0.854125762727757,36.1721717592181,47.9496075366359,-66.0377357220791
"sig_29",-4.36571311473249,-19.2269180376452,-6.98980045670711,-14.1491974946315
