"","Globalisation_score"
"AFG_1970",-2.04398519681778
"AFG_1971",-1.99970123391849
"AFG_1974",-1.99150050004825
"AFG_1975",-1.94721653714897
"AFG_1977",-1.94174938123547
"AFG_2009",-1.33270821247246
"AFG_2010",-1.27694322215484
"ALB_2009",0.293223956200068
"ARG_1970",-0.560745797487387
"ARG_1971",-0.552545063617149
"ARG_1972",-0.531769871145879
"ARG_1973",-0.53122315555453
"ARG_1974",-0.553638494799848
"ARG_1975",-0.538877173833419
"ARG_1976",-0.530129724371832
"ARG_1977",-0.501153798030324
"ARG_1978",-0.476004880828261
"ARG_1979",-0.460696844270483
"ARG_1980",-0.46233699104453
"ARG_1981",-0.413132587823102
"ARG_1982",-0.441561798573261
"ARG_1983",-0.392904110943182
"ARG_1984",-0.365568331375722
"ARG_1985",-0.359554459870881
"ARG_1986",-0.214674828163342
"ARG_1987",-0.244197470096199
"ARG_1988",-0.275906974394452
"ARG_1989",-0.19553978246612
"ARG_1990",-0.283560992673341
"ARG_1991",-0.166017140533263
"ARG_1992",-0.0577674534461202
"ARG_1993",0.15435819599737
"ARG_1994",0.26424802985856
"ARG_1995",0.409127661566099
"ARG_1996",0.44958461532594
"ARG_1997",0.505896321234908
"ARG_1998",0.579156210475701
"ARG_1999",0.602118265312368
"ARG_2000",0.619613164235542
"ARG_2001",0.506989752417606
"ARG_2002",0.566581751874669
"ARG_2003",0.496602156181972
"ARG_2004",0.516283917470543
"ARG_2005",0.418421826619036
"ARG_2006",0.424982413715226
"ARG_2007",0.416781679844988
"ARG_2008",0.387259037912131
"ARG_2009",0.34680208415229
"ARG_2010",0.341881643830147
"AUS_1970",0.0942194809489583
"AUS_1971",0.315639295445385
"AUS_1972",0.343521790604195
"AUS_1973",0.407487514792051
"AUS_1974",0.427169276080623
"AUS_1975",0.735516869601573
"AUS_1976",0.794015437875938
"AUS_1977",0.814790630347208
"AUS_1978",0.837752685183875
"AUS_1979",0.847046850236811
"AUS_1980",0.84759356582816
"AUS_1981",0.863995033568636
"AUS_1982",0.860168024429192
"AUS_1983",0.901718409371731
"AUS_1984",0.915386299155462
"AUS_1985",0.952562959367207
"AUS_1986",0.993019913127048
