"","Globalisation_score","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29"
"Globalisation_score",0.999999999999999,0.343130178600712,0.52805012870278,0.265358180995868,0.251447736164366,0.27815110203835,0.318523214079465,0.387891576696495,0.518304338334762,0.22906804205142,0.212272941619087,0.188025500205557,0.22305545433525,0.257259763842991,0.244862844911413,0.215334994499003,0.216462451723229,0.265015268446056,0.304372145648109,0.25189469574232,0.174815583616464,0.256192747184171,0.303228017313765,0.296207515783559,0.309365095886955,0.257254032071109,0.352309969908799,0.321363699691836,0.407531493095901,0.496053924879109
"sig_1",0.343130178600712,0.999999999999985,0.901949258038015,0.954551629942188,0.967429117886157,0.89612245987667,0.986939705382347,0.979633488279273,0.860275325568202,0.91435821202581,0.900537104410824,0.895628125605439,0.883226435288908,0.910313044000024,0.958928561176872,0.79731359129649,0.87077809727918,0.969149567364689,0.934837353015874,0.891798494112284,0.68502282921506,0.902687538250561,0.986044376366067,0.935552051274605,0.956977074349297,0.864850992394219,0.954460909085653,0.90979430547986,0.927770600946586,0.805843665518989
"sig_2",0.52805012870278,0.901949258038015,1.00000000000001,0.817614957806631,0.784887603121041,0.779260953426904,0.887402529033449,0.94635109385898,0.987280481400167,0.753083988703745,0.724460270713378,0.672112340318373,0.740581715712624,0.797416862984471,0.783001546320249,0.660879996705626,0.698956314092278,0.818227180419863,0.858547223417895,0.786820977718503,0.544952069831002,0.774431168485359,0.854357192299697,0.854401368952315,0.873723031592973,0.754550525278786,0.915176811628511,0.847651376522513,0.951599584341944,0.954120426043585
"sig_3",0.265358180995868,0.954551629942188,0.817614957806631,1.00000000000007,0.950012956229155,0.898193592021433,0.978588863727954,0.930826770244195,0.79022396945483,0.981045633965665,0.980037076369342,0.891696815963901,0.971673533001525,0.98417493447253,0.973054633722604,0.818714158745815,0.909893139261331,0.986840900805852,0.958299845414102,0.97367964436015,0.719774226716764,0.939504972021276,0.954489239390646,0.96439602455073,0.977264372409906,0.896170125665903,0.938966254234077,0.906676735485907,0.886349794669159,0.751879347814867
"sig_4",0.251447736164366,0.967429117886157,0.784887603121041,0.950012956229155,1.00000000000006,0.872960212366857,0.956196632204249,0.907535597491789,0.730406036830624,0.927557516564122,0.937149730149029,0.976591444341718,0.897646974033022,0.894381183802092,0.990717001809163,0.788713174423524,0.891823150992826,0.979105454220897,0.889723814379006,0.875559618074169,0.691428771002206,0.888007692273566,0.976166563176577,0.901929911081827,0.914687499513749,0.842030555390555,0.887004595210249,0.850912433113678,0.828129948018297,0.669566028200331
"sig_5",0.27815110203835,0.89612245987667,0.779260953426904,0.898193592021433,0.872960212366857,1.00000000000007,0.880945018797077,0.872299361102314,0.726995915173081,0.922617196857111,0.849042089317487,0.806771637827714,0.794290389641904,0.846318696330755,0.867701928415266,0.929610870583263,0.975210577012747,0.876137279075932,0.856828381003408,0.806667756445232,0.920320893284386,0.9798707091122,0.895063139286961,0.801194620351059,0.889836230627475,0.981072139014638,0.838461228901594,0.971880076807745,0.809276111175285,0.663397954370865
"sig_6",0.318523214079465,0.986939705382347,0.887402529033449,0.978588863727954,0.956196632204249,0.880945018797077,0.999999999999938,0.979659108307296,0.864438075542434,0.935431331770956,0.930802047761129,0.880605682113,0.930455757591511,0.957408317508279,0.968337857913746,0.780550315084522,0.864545325083277,0.985897006833584,0.972669818788986,0.945207071165688,0.662616864213153,0.910880863663822,0.981182410015476,0.977730532150022,0.986790329323787,0.868261110563177,0.979853536373361,0.912341496679498,0.945397726442781,0.827410880716018
"sig_7",0.387891576696495,0.979633488279273,0.94635109385898,0.930826770244195,0.907535597491789,0.872299361102314,0.979659108307296,0.999999999999962,0.928858923591318,0.879254570994812,0.854776886826045,0.806510984489519,0.858670000545052,0.90810027031887,0.91117987227776,0.760792430463443,0.822731237138398,0.937933612744744,0.95640258914925,0.892311839762849,0.644800409828387,0.883677938668937,0.964674020976107,0.944534632251188,0.970133735102463,0.85115223536607,0.986791246699475,0.922253682155628,0.982602835329018,0.893324238250603
"sig_8",0.518304338334762,0.860275325568202,0.987280481400167,0.79022396945483,0.730406036830624,0.726995915173081,0.864438075542434,0.928858923591318,1.00000000000004,0.716536674097936,0.692614590665499,0.6085260799101,0.727495068613327,0.790089972638659,0.742573088794178,0.604137792495996,0.642040583988675,0.787223639585685,0.857377653902763,0.786000903461483,0.481246838355932,0.736260117149559,0.815729921912588,0.855423718717577,0.865003238893107,0.716630030095995,0.916391393563804,0.821046795023899,0.961037597312044,0.989374159840096
"sig_9",0.22906804205142,0.91435821202581,0.753083988703745,0.981045633965665,0.927557516564122,0.922617196857111,0.935431331770956,0.879254570994812,0.716536674097936,1.00000000000007,0.973745480805899,0.881076062293456,0.943742658180219,0.962851901452747,0.950774500877484,0.882265575640419,0.952726413349177,0.957270331060375,0.926406773296557,0.938066278397129,0.79647405889573,0.960927401058264,0.925239472234106,0.906488547500678,0.94331686097066,0.916372701323272,0.883225756570133,0.902179918414588,0.822340906388968,0.671661679392065
