"","protein.metabolism","death","other.metabolic.processes","signal.transduction","stress.response","other.biological.processes","cell.adhesion","DNA.metabolism","cell.cell.signaling","developmental.processes","cell.organization.and.biogenesis","cell.cycle.and.proliferation","RNA.metabolism","transport"
"A1BG",-0.317042342868846,-0.232331195254681,-0.386380447064039,-0.261950132860529,-0.206736147057632,2.14500758423107,-0.100767407844716,-0.113197949460483,-0.121544830335658,-0.277842484229597,-0.37157598433456,-0.163092360760476,-0.345402491971786,-0.296928665583368
"A1CF",-0.317042342868846,-0.232331195254681,2.58789839127615,-0.261950132860529,-0.206736147057632,-0.466158415815593,-0.100767407844716,-0.113197949460483,-0.121544830335658,-0.277842484229597,-0.37157598433456,-0.163092360760476,-0.345402491971786,-0.296928665583368
"A2M",-0.317042342868846,-0.232331195254681,-0.386380447064039,3.8171896553684,-0.206736147057632,-0.466158415815593,-0.100767407844716,-0.113197949460483,-0.121544830335658,-0.277842484229597,-0.37157598433456,-0.163092360760476,-0.345402491971786,-0.296928665583368
"A4GALT",-0.317042342868846,-0.232331195254681,-0.386380447064039,-0.261950132860529,-0.206736147057632,-0.466158415815593,-0.100767407844716,-0.113197949460483,-0.121544830335658,-0.277842484229597,2.69100636083436,-0.163092360760476,-0.345402491971786,-0.296928665583368
"AAAS",-0.317042342868846,-0.232331195254681,-0.386380447064039,-0.261950132860529,-0.206736147057632,-0.466158415815593,-0.100767407844716,-0.113197949460483,-0.121544830335658,-0.277842484229597,-0.37157598433456,-0.163092360760476,-0.345402491971786,3.36752039555725
"AACS",-0.317042342868846,-0.232331195254681,-0.386380447064039,-0.261950132860529,-0.206736147057632,2.14500758423107,-0.100767407844716,-0.113197949460483,-0.121544830335658,-0.277842484229597,-0.37157598433456,-0.163092360760476,-0.345402491971786,-0.296928665583368
"AAGAB",-0.317042342868846,-0.232331195254681,-0.386380447064039,-0.261950132860529,-0.206736147057632,-0.466158415815593,-0.100767407844716,-0.113197949460483,-0.121544830335658,-0.277842484229597,-0.37157598433456,-0.163092360760476,-0.345402491971786,3.36752039555725
"AAK1",-0.317042342868846,-0.232331195254681,-0.386380447064039,-0.261950132860529,-0.206736147057632,-0.466158415815593,-0.100767407844716,-0.113197949460483,-0.121544830335658,-0.277842484229597,2.69100636083436,-0.163092360760476,-0.345402491971786,-0.296928665583368
"AAMP",-0.317042342868846,-0.232331195254681,-0.386380447064039,-0.261950132860529,-0.206736147057632,2.14500758423107,-0.100767407844716,-0.113197949460483,-0.121544830335658,-0.277842484229597,-0.37157598433456,-0.163092360760476,-0.345402491971786,-0.296928665583368
"AANAT",-0.317042342868846,-0.232331195254681,-0.386380447064039,-0.261950132860529,-0.206736147057632,2.14500758423107,-0.100767407844716,-0.113197949460483,-0.121544830335658,-0.277842484229597,-0.37157598433456,-0.163092360760476,-0.345402491971786,-0.296928665583368
