"","X.D.","X.E.","X.O.","X.B.","X.C.","X.M.","X.A.","X.T.","X.U.","X.R.","X.F.","X.G.","X.P."
"Q0045",-0.290118682665429,5.46289407930463,-0.258744995360395,-0.232427182507908,-0.249074176644913,-0.324293995386928,-0.234670305125294,-0.276140135818363,-0.681205228266722,-0.152748648408632,-0.286283861882679,-0.151451796065916,-0.255412695786531
"Q0080",-0.290118682665429,5.46289407930463,-0.258744995360395,-0.232427182507908,-0.249074176644913,-0.324293995386928,-0.234670305125294,-0.276140135818363,-0.681205228266722,-0.152748648408632,-0.286283861882679,-0.151451796065916,-0.255412695786531
"Q0085",-0.290118682665429,5.46289407930463,-0.258744995360395,-0.232427182507908,-0.249074176644913,-0.324293995386928,-0.234670305125294,-0.276140135818363,-0.681205228266722,-0.152748648408632,-0.286283861882679,-0.151451796065916,-0.255412695786531
"Q0105",-0.290118682665429,5.46289407930463,-0.258744995360395,-0.232427182507908,-0.249074176644913,-0.324293995386928,-0.234670305125294,-0.276140135818363,-0.681205228266722,-0.152748648408632,-0.286283861882679,-0.151451796065916,-0.255412695786531
"Q0110",-0.290118682665429,-0.183018656338215,-0.258744995360395,-0.232427182507908,-0.249074176644913,-0.324293995386928,-0.234670305125294,3.62066720634183,-0.681205228266722,-0.152748648408632,-0.286283861882679,-0.151451796065916,-0.255412695786531
"Q0115",-0.290118682665429,-0.183018656338215,-0.258744995360395,-0.232427182507908,-0.249074176644913,-0.324293995386928,-0.234670305125294,3.62066720634183,-0.681205228266722,-0.152748648408632,-0.286283861882679,-0.151451796065916,-0.255412695786531
"Q0120",-0.290118682665429,-0.183018656338215,-0.258744995360395,-0.232427182507908,-0.249074176644913,-0.324293995386928,-0.234670305125294,3.62066720634183,-0.681205228266722,-0.152748648408632,-0.286283861882679,-0.151451796065916,-0.255412695786531
"Q0140",-0.290118682665429,-0.183018656338215,-0.258744995360395,-0.232427182507908,-0.249074176644913,-0.324293995386928,-0.234670305125294,-0.276140135818363,-0.681205228266722,-0.152748648408632,-0.286283861882679,-0.151451796065916,3.91449426988527
"Q0250",-0.290118682665429,5.46289407930463,-0.258744995360395,-0.232427182507908,-0.249074176644913,-0.324293995386928,-0.234670305125294,-0.276140135818363,-0.681205228266722,-0.152748648408632,-0.286283861882679,-0.151451796065916,-0.255412695786531
"Q0275",-0.290118682665429,5.46289407930463,-0.258744995360395,-0.232427182507908,-0.249074176644913,-0.324293995386928,-0.234670305125294,-0.276140135818363,-0.681205228266722,-0.152748648408632,-0.286283861882679,-0.151451796065916,-0.255412695786531
"YAL001C",-0.290118682665429,-0.183018656338215,-0.258744995360395,-0.232427182507908,-0.249074176644913,-0.324293995386928,-0.234670305125294,3.62066720634183,-0.681205228266722,-0.152748648408632,-0.286283861882679,-0.151451796065916,-0.255412695786531
"YAL002W",-0.290118682665429,-0.183018656338215,3.86408066644818,-0.232427182507908,-0.249074176644913,-0.324293995386928,-0.234670305125294,-0.276140135818363,-0.681205228266722,-0.152748648408632,-0.286283861882679,-0.151451796065916,-0.255412695786531
"YAL003W",-0.290118682665429,-0.183018656338215,-0.258744995360395,-0.232427182507908,-0.249074176644913,-0.324293995386928,-0.234670305125294,-0.276140135818363,-0.681205228266722,-0.152748648408632,-0.286283861882679,-0.151451796065916,3.91449426988527
