"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Immune.system","Endocrine.system","Circulatory.system","Digestive.system","Excretory.system","Nervous.system","Sensory.system","Development","Environmental.adaptation"
"sig_1",0.999999999999999,-0.205295782489713,0.0705697260928358,0.256581064988583,0.118058565579309,-0.0547744900810533,-0.0343484405361201,-0.304949505832434,-0.0910929422017028,-0.119899126813417,0.0352699594667173,-0.107292739292708,-0.0880098860451552,-0.180289801697391,-0.0821831928874096,-0.0334429112299164,-0.168943915433232,-0.178649509658593,-0.20184595085282,0.0323912031138141,0.101647992436377,-0.0710361732142443,-0.243294378217125,-0.201115071007717,-0.0200874565955024,-0.232481665817385,-0.0565667599732355,-0.193203695181485,-0.255514610545376,-0.0638847513463722,-0.0451866651165706,-0.0804957202874306,-0.0535221436798184,-0.0740256171725773,-0.0833055874472201,-0.0965894971128948,-0.0458427392974445,-0.0447547976341533
"sig_2",-0.205295782489713,1,-0.198189996663145,-0.189958119554308,-0.111211638530335,-0.136377766112657,0.0953940506929228,0.563556282197946,-0.201518335716469,-0.213946040576082,-0.185529263073839,-0.204157398055775,-0.190601986727505,-0.214121057842885,-0.0835908278533191,-0.153258939311276,-0.242299598138348,-0.157994876790692,-0.231623869920386,-0.105755003656697,-0.104615780308837,-0.0461518831581432,-0.10220619657763,-0.206921274149888,-0.0702745186397484,-0.136286168922275,-0.0634913865012345,0.0222491848410441,0.255223084001666,0.0321736110798987,-0.0394729593975323,-0.0379437718573079,-0.086096638452906,-0.0546037056313796,-0.0508656106566231,-0.0427348314762215,0.0517414502534783,-0.0463985862358856
"sig_3",0.0705697260928358,-0.198189996663145,0.999999999999999,-0.0270268496571828,0.386146346424957,0.363007006214123,-0.168271530956955,-0.267189312976138,0.487955125063959,0.38304232980354,-0.0375331275598464,0.357004604358509,0.756671031101281,0.0931898706707984,0.0173569378707892,0.45618273272332,0.0600723814071132,0.107750957582732,0.330054709094457,0.21526451329202,0.409346342935305,-0.117532152753294,-0.0107359597289327,0.114258203219242,0.0275021658197224,-0.0979566783301439,-0.024997106821921,-0.152457228176819,-0.209922691552316,-0.059990332143153,0.0373760310334926,-0.0453690232795349,-0.000728540151454714,0.0449887951359245,0.0102949721423613,-0.0337631707202044,-0.0523673464295712,0.0235390969896586
"sig_4",0.256581064988583,-0.189958119554308,-0.0270268496571828,1,0.0167021830266116,-0.0502531337793325,0.0884980015091326,-0.199058246935924,0.0423204701790141,0.110495889082973,0.632204877068627,-0.0138123251272896,-0.0392010148668281,0.199517553772965,-0.0105464205302449,0.117282850466027,0.170175731220968,-0.0679921706855108,-0.007002690163879,0.102220149910586,-0.0771551779520634,0.225531433901768,-0.0643032739852603,-0.0111868596380931,0.00658053122605513,-0.0439318755450458,-0.0096224705847896,-0.0167974361425193,-0.164550884397498,-0.0559439279260003,0.107118620222647,-0.00553169524486322,-0.0152740578467375,-0.0333927810126942,-0.0335762659339111,-0.0173646660663431,-0.0650484855666031,0.000148589348978316
"sig_5",0.118058565579309,-0.111211638530335,0.386146346424957,0.0167021830266116,1,0.126019169764325,0.0809224315358782,-0.158729722569961,0.254421334039339,0.146565628636345,-0.0547402450999478,-0.00978919976454242,0.0182425829155056,-0.0501435526614818,-0.0273827185460608,0.425830636136973,-0.00548818333148959,-0.0822876518001586,0.0248970048560498,0.733828709047554,0.522239387595282,-0.0440218444161398,-0.131491441498491,-0.0982965154177581,0.593961559225687,-0.0310872706175288,0.459181225703295,-0.0540550280478693,-0.150666110148187,-0.051211403370257,-0.0585460087943859,-0.059355193744671,0.02388077167683,-0.0869049539142882,-0.0508016322372134,-0.0668739079159207,-0.0433670486091852,-0.00900516829824391
"sig_6",-0.0547744900810533,-0.136377766112657,0.363007006214123,-0.0502531337793325,0.126019169764325,1,0.0197601930789471,-0.0352833176136347,0.153191600074901,0.0719131641724724,-0.0306092104328319,0.351581338868098,0.313537790601466,0.316519380075323,0.0889705608236447,0.0389413324602661,0.369204933060618,0.588344816509949,0.253781470673983,-0.0106420154059048,0.226206603731549,-0.0352887340570955,0.645497823455969,0.350928808451483,0.113900377391644,0.396494052265442,0.0650244812530855,-0.0248022179041342,0.0185225430975033,0.260844397382688,0.154235747896326,0.173978023265863,0.136733531508518,0.256380550502805,0.175922350923672,0.192971921796674,0.163148748458253,0.157386401620101
"sig_7",-0.0343484405361201,0.0953940506929228,-0.168271530956955,0.0884980015091326,0.0809224315358782,0.0197601930789471,0.999999999999998,0.105351185682191,-0.0910459195257851,-0.0879074726466995,-0.0608536280003334,-0.0964196827935043,-0.0974213404797378,-0.00562323635569029,0.0493105965168531,-0.0315787387651737,0.188278288289982,0.0369998069971437,0.0663968632765416,0.0867401716247065,-0.112770997226596,0.643010806243019,0.00880112867720735,0.136619933957997,0.209969760849294,0.35110155318479,0.390558246160847,0.630585198685803,0.0802550612076135,-0.00278925392456205,0.0144363912322694,0.0643498055619619,0.0363698805969965,-0.0404621917264261,0.0567228818106043,0.0535613756828302,-0.0861013244910512,0.0516663228183344
"sig_8",-0.304949505832434,0.563556282197946,-0.267189312976138,-0.199058246935924,-0.158729722569961,-0.0352833176136347,0.105351185682191,1,-0.191678048281863,-0.198186035907626,-0.158182650371399,-0.187262623993845,-0.20417387595159,-0.110028001191825,-0.0464548508575404,-0.148061878381553,-0.159669258313774,-0.0577190022107931,-0.155949172978116,-0.120582122745158,-0.138855654784292,-0.0069648827589086,0.169562606996775,-0.102820215045105,-0.090933614635408,0.126430475213195,-0.0292751988240223,0.323695174498501,0.840944723008839,0.105204540775754,0.00940062993807041,0.0640292125231068,0.00953375220412773,-0.0261189369114272,0.0442231418361136,0.0666564087914734,0.0869441748705377,0.00345890283211488
"sig_9",-0.0910929422017028,-0.201518335716469,0.487955125063959,0.0423204701790141,0.254421334039339,0.153191600074901,-0.0910459195257851,-0.191678048281863,0.999999999999999,0.680994083868594,0.021887748481244,0.431646454160763,0.49305488545847,0.224348665218449,0.0677457984801052,0.576650943555006,0.155585376775998,0.291068019990897,0.580443567746734,0.356668167095261,0.118132849109895,-0.0637010224931596,0.0908744428391284,0.280436720352007,0.11028741099203,-0.0143403537401907,-0.0516451532256893,-0.0981592041505401,-0.164467178051678,-0.0247393776760324,-0.00372054263968672,-0.026961295433538,0.0410141288327293,0.0136989222232029,0.0815971619383821,-0.00301274135827221,-0.0127780645693401,0.00196746748983824
"sig_10",-0.119899126813417,-0.213946040576082,0.38304232980354,0.110495889082973,0.146565628636345,0.0719131641724724,-0.0879074726466995,-0.198186035907626,0.680994083868594,0.999999999999998,0.369309116005428,0.577049967428527,0.413732852054964,0.480881528955694,0.025101266404409,0.469338355125132,0.357272830775298,0.108441376526992,0.550709423362509,0.292106445028556,0.059332768546836,0.0475481003993854,0.0588278261914416,0.186345694049291,0.123340156714385,0.00174275195813125,0.0156029056366891,-0.0508870620617678,-0.151377547338132,-0.0528997706192648,0.00692481693981966,-0.0334290696126977,0.0454105071050863,-0.0181149223743929,0.0496212787158402,0.00247998047593846,-0.0432510658617022,-0.00275356033485821
"sig_11",0.0352699594667173,-0.185529263073839,-0.0375331275598464,0.632204877068627,-0.0547402450999478,-0.0306092104328319,-0.0608536280003334,-0.158182650371399,0.021887748481244,0.369309116005428,1,0.216252440787682,-0.0134509918778858,0.531319698594097,0.0384014982069531,0.0555046674560969,0.423639091627372,-0.00495893051987814,0.157153059084368,0.0220918840637739,-0.0335660957530094,0.135134389382048,0.015592504318542,0.102302596986815,-0.0106469863774103,0.0401320171349866,0.0557537048330719,-0.00147190783016974,-0.111442724663397,-0.054369637606741,0.070993335899869,-0.0255998676328474,-0.0321682299067686,-0.0533029675383048,-0.0278340990289656,-0.0145795673132292,-0.0447658951303318,-0.029812743597966
"sig_12",-0.107292739292708,-0.204157398055775,0.357004604358509,-0.0138123251272896,-0.00978919976454242,0.351581338868098,-0.0964196827935043,-0.187262623993845,0.431646454160763,0.577049967428527,0.216252440787682,1,0.431739100652141,0.34936910366623,0.0870569528147306,0.158172848410957,0.296935827929405,0.325029157912136,0.557224444663822,0.0391938120958597,0.191449270776895,-0.00663366584947204,0.200701848532428,0.243404450905282,0.110345144285843,0.114694976674429,0.0265822084992205,-0.0505654161120887,-0.130858627893281,0.0519379892246989,0.118547355942311,0.0660337555601105,0.0777703936123001,0.145316970406089,0.195410074739851,0.13345556299027,-0.000875239182939441,0.133484112089826
"sig_13",-0.0880098860451552,-0.190601986727505,0.756671031101281,-0.0392010148668281,0.0182425829155056,0.313537790601466,-0.0974213404797378,-0.20417387595159,0.49305488545847,0.413732852054964,-0.0134509918778858,0.431739100652141,1,0.197271660245319,0.0752542805019265,0.385172120693377,0.159355914186905,0.222760538295533,0.570853612826742,0.00561721397848235,0.084642387970884,-0.07086807291318,0.164521658888708,0.25154547531766,0.0830083232186142,0.0416779023165299,0.0282290404137478,-0.0674386623539902,-0.144417424722864,-0.0348078871472266,0.0563362501930212,-0.0336714100015939,-0.0504180001279062,0.0634917885112616,0.0500683464738655,-0.00486591949040155,-0.0326146504913725,0.00672755714633795
"sig_14",-0.180289801697391,-0.214121057842885,0.0931898706707984,0.199517553772965,-0.0501435526614818,0.316519380075323,-0.00562323635569029,-0.110028001191825,0.224348665218449,0.480881528955694,0.531319698594097,0.34936910366623,0.197271660245319,0.999999999999999,0.172224302050709,0.254848293638484,0.58428104262288,0.273255298801839,0.316491437958754,0.00250234901881838,-0.00415070344006133,0.209980241348584,0.453632706349254,0.328928122146223,0.0152112208989832,0.302688608178546,0.0022231258661713,0.0432315996272043,-0.0290795453773644,0.00583711521518789,0.078050973010005,0.142126362482564,0.0896841477634506,0.0150161596409052,0.105333532499039,0.160904733910001,-0.0624572646890673,0.148859931495559
"sig_15",-0.0821831928874096,-0.0835908278533191,0.0173569378707892,-0.0105464205302449,-0.0273827185460608,0.0889705608236447,0.0493105965168531,-0.0464548508575404,0.0677457984801052,0.025101266404409,0.0384014982069531,0.0870569528147306,0.0752542805019265,0.172224302050709,1,-0.0038932055610077,0.281535138609175,0.222310826147648,0.169029305494469,-0.0251683228017309,0.116037683530873,0.0872863909177688,0.116179277835296,0.525861812772992,0.00788763271799541,0.316480792485696,0.0288915084917702,0.0975610704908776,-0.023883956487721,-0.00829805936761611,-0.0369536951773147,-0.0324241389449866,-0.0482405856773627,-0.0457795330538118,-0.0395949263754399,-0.0366874358579401,-0.0228447648359439,-0.0259786113555116
"sig_16",-0.0334429112299164,-0.153258939311276,0.45618273272332,0.117282850466027,0.425830636136973,0.0389413324602661,-0.0315787387651737,-0.148061878381553,0.576650943555006,0.469338355125132,0.0555046674560969,0.158172848410957,0.385172120693377,0.254848293638484,-0.0038932055610077,0.999999999999999,0.0476054171804371,-0.0309981918893183,0.316416330697857,0.524374462468651,-0.0316062141860674,0.00868661850539603,-0.00467825462091236,-0.00939844699231366,0.226338384637551,-0.0640690184147459,0.218348984193679,-0.0314387870465196,-0.125052199180008,-0.0679168768258846,-0.0439591349802626,-0.0643128728546014,0.0236198658966367,-0.0897956151356699,-0.0431312668333698,-0.0642320501656523,-0.0448095376740085,-0.049622461768935
"sig_17",-0.168943915433232,-0.242299598138348,0.0600723814071132,0.170175731220968,-0.00548818333148959,0.369204933060618,0.188278288289982,-0.159669258313774,0.155585376775998,0.357272830775298,0.423639091627372,0.296935827929405,0.159355914186905,0.58428104262288,0.281535138609175,0.0476054171804371,1,0.444493817230018,0.404493479981265,0.0952656518411459,-0.00725192308209888,0.319282727850028,0.337118926782542,0.635271894218658,0.16460183803254,0.444273282590648,0.212637737312951,0.286568442040011,-0.0583715124166744,0.115263888277689,0.126609959458564,0.208156381700222,0.162819458897422,0.0884988503245518,0.183253903944408,0.22239587953835,-0.0553209663052856,0.0740039674762363
"sig_18",-0.178649509658593,-0.157994876790692,0.107750957582732,-0.0679921706855108,-0.0822876518001586,0.588344816509949,0.0369998069971437,-0.0577190022107931,0.291068019990897,0.108441376526992,-0.00495893051987814,0.325029157912136,0.222760538295533,0.273255298801839,0.222310826147648,-0.0309981918893183,0.444493817230018,0.999999999999999,0.358279275717575,-0.0328584631163259,0.0489166524313464,-0.0423547947429731,0.543154884409373,0.609673677172553,0.0456715589208239,0.389176101826349,0.00788567894687743,0.0355445352860713,-0.0236161918330377,0.0569158842566243,0.0329684589606212,0.097571094587305,0.104685993978593,0.16939769781655,0.137107767109998,0.117806378620656,-0.0288295291249472,0.0335263490579689
