"","x"
"1",0.784315291219866
"2",0.719593668241122
"3",0.710126015335486
"4",0.644726540520435
"5",0.544285203651285
"6",0.513928661318425
"7",0.446147788039307
"8",0.39912927315737
"9",0.218612054921201
