"","protein.metabolism","death","other.metabolic.processes","signal.transduction","stress.response","other.biological.processes","cell.adhesion","DNA.metabolism","cell.cell.signaling","developmental.processes","cell.organization.and.biogenesis","cell.cycle.and.proliferation","RNA.metabolism","transport"
"A1CF",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"A2M",-0.34598839946764,-0.252851267903372,-0.376795919159934,4.09045087060035,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"AAAS",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"AACS",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,2.23303997758653,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"AAGAB",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"AAMP",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,2.23303997758653,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"AARS",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,2.23303997758653,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"AARS2",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,2.51069389604505,-0.174487207204154,-0.343915879149163,-0.304088214604886
"AARSD1",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,2.23303997758653,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"AASDHPPT",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"AASS",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,2.51069389604505,-0.174487207204154,-0.343915879149163,-0.304088214604886
"AATF",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABCA1",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,2.23303997758653,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABCA2",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"ABCA3",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"ABCB1",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,5.7302610365886,-0.343915879149163,-0.304088214604886
"ABCB10",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"ABCB6",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,2.23303997758653,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABCB7",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"ABCB8",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"ABCC1",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"ABCC10",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"ABCC2",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"ABCC3",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"ABCC4",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABCC5",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"ABCD1",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"ABCD2",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"ABCD3",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"ABCD4",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"ABCE1",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABCF1",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,2.23303997758653,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABCF2",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"ABCF3",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,4.70272838959789,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABCG1",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,2.23303997758653,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABCG2",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"ABHD10",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABHD11",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,2.23303997758653,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABHD2",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,2.23303997758653,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABHD3",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,2.23303997758653,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABHD4",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABHD5",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABHD6",-0.34598839946764,-0.252851267903372,-0.376795919159934,4.09045087060035,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABI1",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,2.51069389604505,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABI2",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,2.51069389604505,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABI3",2.88985771304347,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABL1",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,4.70272838959789,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABLIM1",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,2.51069389604505,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ABT1",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,4.24649872846173,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACACA",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACACB",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACADSB",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACADVL",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACAT1",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,4.24649872846173,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACAT2",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACBD3",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,3.28804996972434
"ACBD5",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,2.23303997758653,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACD",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,2.23303997758653,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACE",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,4.24649872846173,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACE2",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACIN1",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,2.90727269499373,-0.304088214604886
"ACLY",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACO1",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACO2",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACOT1",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACOT2",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACOT7",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACOT8",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACOT9",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACOX1",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,2.23303997758653,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACOX3",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACP2",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACSL1",2.88985771304347,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACSL3",-0.34598839946764,-0.252851267903372,2.65357769015733,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACSL4",-0.34598839946764,-0.252851267903372,-0.376795919159934,-0.244436927970822,-0.212612160854694,2.23303997758653,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
"ACSL5",-0.34598839946764,3.95432956740096,-0.376795919159934,-0.244436927970822,-0.212612160854694,-0.44775608805077,-0.0785843774860641,-0.124537256082466,-0.106106919538507,-0.235454502346529,-0.398239405608204,-0.174487207204154,-0.343915879149163,-0.304088214604886
