"","Immune.system","Endocrine.system","Circulatory.system","Digestive.system","Excretory.system","Nervous.system","Sensory.system","Development","Environmental.adaptation"
"ec:1.1.1.213",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.1.1.239",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.1.1.270",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.1.1.34",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.0768584690848053,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.1.1.37",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.298650051300958,0.909286752652712,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.1.1.40",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.1.1.62",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.11.1.7",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.0768584690848053,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.11.1.8",-0.0411645363475193,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.11.1.9",-0.249045444902492,0.512842980821988,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.13.11.31",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.0714588833312972,0.342776788607208,-0.141428427835496,-0.160829589962709
"ec:1.13.11.33",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.0714588833312972,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.13.11.34",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.0714588833312972,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.14.13.15",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.14.13.17",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.0768584690848053,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.14.13.39",-0.0411645363475193,-0.0730975289406906,-0.200732860584934,-0.0768584690848053,-0.283414052774871,-0.0714588833312972,-0.234230805548259,-0.141428427835496,0.741603109272491
"ec:1.14.14.1",-0.249045444902492,0.0440905730118451,-0.200732860584934,-0.298650051300958,-0.283414052774871,0.668781856818551,0.342776788607208,-0.141428427835496,-0.160829589962709
"ec:1.14.15.3",-0.249045444902492,-0.307473732845762,0.523339243667865,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.14.15.6",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.14.16.2",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.0714588833312972,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.14.16.4",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.298650051300958,-0.283414052774871,0.113601301706165,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.14.18.1",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.14.99.1",-0.0411645363475193,-0.0730975289406906,-0.200732860584934,-0.298650051300958,-0.283414052774871,0.298661486743627,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.14.99.3",-0.249045444902492,-0.307473732845762,-0.200732860584934,0.144933113131347,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.16.3.1",-0.249045444902492,-0.307473732845762,-0.200732860584934,0.144933113131347,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.17.99.3",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.3.3.6",-0.249045444902492,-0.0730975289406906,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.3.8.7",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.3.8.8",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.4.1.3",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.298650051300958,2.1019875580803,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.4.3.4",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.298650051300958,-0.283414052774871,0.483721671781089,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:1.8.1.7",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.1.1.6",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.0714588833312972,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.3.1.135",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.0768584690848053,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.3.1.16",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.3.1.176",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.3.1.21",-0.249045444902492,0.512842980821988,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.3.1.22",-0.249045444902492,-0.307473732845762,-0.200732860584934,0.144933113131347,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.3.1.51",-0.249045444902492,-0.307473732845762,-0.200732860584934,0.144933113131347,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.3.1.6",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.0714588833312972,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.3.1.76",-0.249045444902492,-0.307473732845762,-0.200732860584934,0.144933113131347,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.3.1.85",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.3.1.9",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.0768584690848053,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.3.3.10",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.4.1.1",-0.249045444902492,0.0440905730118451,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.4.1.11",-0.249045444902492,-0.0730975289406906,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.4.1.17",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.0768584690848053,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.6.1.1",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.0768584690848053,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.6.1.22",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.0714588833312972,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.7.1.1",-0.249045444902492,0.161278674964381,-0.200732860584934,0.588516277563652,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.7.1.11",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.7.1.153",7.23466726307651,2.5050407140151,1.24741134792066,0.588516277563652,4.48738916893546,1.22396241193094,2.07379957107361,9.38141904642121,-0.160829589962709
"ec:2.7.1.2",-0.249045444902492,0.0440905730118451,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.7.1.30",-0.249045444902492,-0.0730975289406906,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.7.1.40",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.7.1.68",0.374597280762425,-0.307473732845762,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.7.1.91",0.166716372207453,-0.307473732845762,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.7.7.12",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.7.7.6",0.166716372207453,-0.307473732845762,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:2.8.2.14",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.0768584690848053,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.1.1.13",-0.249045444902492,-0.307473732845762,-0.200732860584934,0.144933113131347,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.1.1.23",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.298650051300958,-0.283414052774871,0.113601301706165,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.1.1.3",-0.249045444902492,-0.307473732845762,-0.200732860584934,1.47568260642826,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.1.1.34",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.1.1.4",3.90857272619695,2.15347640815749,6.67795212981666,4.58076475745439,-0.283414052774871,3.62974481741794,4.38182994769548,-0.141428427835496,-0.160829589962709
"ec:3.1.1.5",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.0768584690848053,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.1.1.7",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.0714588833312972,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.1.2.2",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.0768584690848053,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.1.3.11",-0.249045444902492,-0.0730975289406906,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.1.3.2",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,2.23928344072868,-0.160829589962709
"ec:3.1.3.4",0.374597280762425,-0.307473732845762,-0.200732860584934,0.366724695347499,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.1.3.46",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.1.3.56",-0.249045444902492,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.1.3.86",0.79035909787237,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.1.3.9",-0.249045444902492,0.395654878869452,-0.200732860584934,0.366724695347499,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.1.4.11",3.70069181764198,3.79410983549299,2.69555555642626,2.58464051750902,4.48738916893546,5.2952864827551,3.80482235354001,2.23928344072868,3.44890120697809
"ec:3.1.4.17",-0.249045444902492,0.161278674964381,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,0.919784382762675,-0.141428427835496,-0.160829589962709
"ec:3.1.4.35",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,0.919784382762675,-0.141428427835496,-0.160829589962709
"ec:3.1.4.4",0.166716372207453,-0.0730975289406906,-0.200732860584934,-0.298650051300958,-0.283414052774871,0.113601301706165,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.2.1.1",-0.249045444902492,-0.307473732845762,-0.200732860584934,1.91926577086057,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.2.1.10",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.0768584690848053,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.2.1.3",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.0768584690848053,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.2.1.31",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.298650051300958,0.909286752652712,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.3.2.9",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.0768584690848053,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.4.11.2",-0.0411645363475193,-0.190285630893226,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.5.1.12",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.0768584690848053,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.5.1.2",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.298650051300958,2.1019875580803,0.483721671781089,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.6.3.10",-0.249045444902492,-0.307473732845762,-0.200732860584934,0.144933113131347,2.1019875580803,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:3.6.3.14",0.374597280762425,-0.307473732845762,-0.200732860584934,-0.298650051300958,0.909286752652712,-0.0714588833312972,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:4.1.1.15",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.298650051300958,-0.283414052774871,0.113601301706165,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:4.1.1.28",-0.249045444902492,-0.307473732845762,-0.200732860584934,-0.298650051300958,-0.283414052774871,0.113601301706165,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:4.1.1.32",-0.249045444902492,0.395654878869452,-0.200732860584934,-0.298650051300958,2.1019875580803,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
"ec:4.6.1.1",3.49281090908701,8.13006960773681,6.31591607769026,7.68584690848053,5.68008997436305,7.14588833312972,7.26686791847281,-0.141428427835496,8.86349740238929
"ec:4.6.1.2",0.374597280762425,0.278466776916917,1.60944740004706,0.366724695347499,-0.283414052774871,0.298661486743627,1.49679197691814,-0.141428427835496,2.54646850774289
"ec:5.3.3.1",-0.249045444902492,-0.0730975289406906,-0.200732860584934,-0.298650051300958,-0.283414052774871,-0.256519068368759,-0.234230805548259,-0.141428427835496,-0.160829589962709
