ID,Immune system,Endocrine system,Circulatory system,Digestive system,Excretory system,Nervous system,Sensory system,Development,Environmental adaptation
ec:1.1.1.213,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.239,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.270,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.34,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ec:1.1.1.40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.62,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.11.1.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.11.1.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.11.1.9,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.13.11.31,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
ec:1.13.11.33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ec:1.13.11.34,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ec:1.14.13.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.14.13.17,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.14.13.39,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
ec:1.14.14.1,0.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
ec:1.14.15.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.14.15.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.14.16.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ec:1.14.16.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ec:1.14.18.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.14.99.1,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ec:1.14.99.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ec:1.16.3.1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ec:1.17.99.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.3.3.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.3.8.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.3.8.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:1.4.1.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ec:1.4.3.4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ec:1.8.1.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:2.1.1.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ec:2.3.1.135,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ec:2.3.1.16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:2.3.1.176,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:2.3.1.21,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:2.3.1.22,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ec:2.3.1.51,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
