"","V1","V2","V3"
"sig_1",0.383390844165978,0.108272321938787,-0.334995039756905
"sig_2",-0.103018594492087,0.224642149114418,-0.155118307909467
"sig_3",-0.791630144139478,-0.259549766123568,-1.03117393849047
"sig_4",1.65098201335118,-0.365138304691083,-2.88578775040545
"sig_5",-2.04077889972309,-1.27205813471413,-0.261921759214321
"sig_6",-0.480421776583253,-0.17066675771077,0.427053269715941
"sig_7",-0.38911109963163,0.293265302271719,0.151839546983746
"sig_8",-0.0799162395284913,-0.0775647073503848,0.0635162605080654
"sig_9",-3.0962310300233,-2.65320990519452,0.248753025731175
"sig_10",-0.340774776216344,1.75776184600652,4.30947877688924
"sig_11",-2.80282308908797,-2.21257927761714,0.07407773252203
"sig_12",1.86602827228208,-0.775538767956483,-3.63022828629786
"sig_13",0.827468696249757,0.391722056115408,-0.913659541753
"sig_14",6.04192410815122,5.27182420474013,-0.136430476014952
"sig_15",0.0734395476022201,0.324685353528372,0.356299315459953
"sig_16",1.06456503089007,0.938832092900554,-1.41405730102601
"sig_17",-3.55974261939766,-1.62215907789997,1.8337458745896
"sig_18",-0.592340019278253,-0.506603048854165,-0.10591860132671
"sig_19",0.0453394759483982,0.454217543518095,1.04833574844258
"sig_20",0.596143138807641,-0.0393699629946009,0.616009314161821
"sig_21",-0.827874619554446,-0.113802531165815,0.826870495317566
"sig_22",-1.94234579072366,0.209754403530281,0.586154038940978
"sig_23",0.144528273549536,0.0226788429616158,0.427898978215665
"sig_24",1.87372287986313,-1.32009507306067,-0.0715994439090164
"sig_25",-1.53141916538453,-0.326340240500449,-0.100160789274689
"sig_26",-0.216981221298006,1.69898974181142,0.204989937781753
"sig_27",2.56619060002848,0.974956783692171,-0.357415693748049
"sig_28",0.475526344496315,-0.0948003284227904,0.510687100459962
"sig_29",-0.0168631557643959,0.373099646297642,-0.427772870321752
