"","V1","V2","V3"
"Goods.notifications..RTAs.",-59.3690373342045,-12.9203020054515,-64.1146126398264
"Services.notifications..EIAs.",-0.730525090045809,-0.3921447161729,2.07895559385026
"Physical.RTAs",59.7080315938382,14.2136002821933,62.3803169389717
