"","V1"
"AFG",-0.340038741912923
"AGO",-0.349859181567677
"ARE",-0.196468572735221
"ARG",-0.160995394949122
"ATG",-0.340038741912923
"AUS",0.199011351466688
"AUT",1.90132376156013
"AZE",-0.341305762171841
"BEL",1.68422290087945
"BEN",-0.340038741912923
"BGD",-0.340464790428828
"BGR",-0.35376899962382
"BHS",-0.340038741912923
"BLR",-0.345348475530492
"BRA",-0.885283943464648
"BRN",-0.340038741912923
"BWA",-0.340038741912923
"CAN",0.453008703105363
"CHE",2.05865488028661
"CHL",-0.340245506844183
"CHN",-0.331425291813803
"COD",-0.340038741912923
"COG",-0.340038741912923
"COL",-0.373280943717139
"CRI",-0.341305762171841
"CYP",-0.340038741912923
"CZE",1.56300626823377
"DEU",1.80198158831978
"DNK",0.970972320441678
"DOM",-0.340038741912923
"DZA",-0.00783538561507857
"ECU",-0.344302572598681
"EGY",-0.239864578176559
"ESP",3.49537897154497
"EST",-0.341305762171841
"FIN",0.940606499752707
"FRA",3.05597743090335
"GAB",-0.340038741912923
"GBR",2.67357762197338
"GHA",-0.340038741912923
"GNQ",-0.340038741912923
"GRC",-0.187399022757152
"GTM",-0.340038741912923
"HND",-0.340038741912923
"HRV",-0.349859181567677
"HUN",0.821089963924392
"IDN",0.430039011785497
"IND",-1.30825202620957
"IRL",0.428519534343119
"IRN",-0.515782748330428
"IRQ",-0.373469190235031
"ISR",0.195661014401774
"ITA",3.63429513647636
"JOR",-0.340038741912923
"JPN",-1.74756678815143
"KAZ",-0.37197588969971
"KGZ",-0.340038741912923
"KHM",-0.340038741912923
"KOR",-0.799516295142217
"KWT",-0.355812710655024
"LAO",-0.340038741912923
"LBR",-0.340038741912923
"LBY",-0.311252629582484
"LCA",-0.340038741912923
"LKA",-0.340038741912923
"LTU",-0.345348475530492
"LUX",-0.341591856285221
"LVA",-0.340464790428828
"MAR",-0.328697819776967
"MEX",0.172880350171431
"MLT",-0.340038741912923
"MMR",-0.340038741912923
"MNG",-0.340038741912923
"MOZ",-0.340038741912923
"MYS",0.366341237458987
"NGA",-0.191113740598219
"NIC",-0.340038741912923
"NLD",4.04745576136985
"NOR",1.12348998190816
"NPL",-0.340038741912923
"NZL",-0.341305762171841
"OMN",-0.341305762171841
"PAK",-0.370502423712879
"PAN",-0.346932508231028
"PER",-0.373280943717139
"PHL",-0.274707765140746
"PNG",-0.340038741912923
"POL",1.64109173425308
"PRK",-0.340038741912923
"PRT",-0.294781072708375
"PRY",-0.340038741912923
"QAT",-0.274707765140746
"ROM",0.50350748616251
"RUS",0.505288618503039
"SAU",-0.0689484370231576
"SDN",-0.340038741912923
"SGP",-1.48003536248705
"SLV",-0.340038741912923
"SRB",-0.340464790428828
"SVK",0.20823701048938
"SVN",-0.349859181567677
"SWE",1.68241531390473
"SYR",-0.341305762171841
"TCD",-0.340038741912923
"THA",-1.35412751150424
"TTO",-0.340038741912923
"TUN",-0.340464790428828
"TUR",-1.27573157237302
"UKR",-0.445494737686894
"URY",-0.340464790428828
"USA",-0.710205622175879
"UZB",-0.340038741912923
"VEN",-0.35376899962382
"VNM",-0.211181812695869
"YEM",-0.340038741912923
"ZAF",0.0942179431055454
"ZMB",-0.340038741912923
"ZWE",-0.340038741912923
