"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Overview","Carbohydrate.metabolism","Energy.metabolism","Lipid.metabolism","Nucleotide.metabolism","Amino.acid.metabolism","Metabolism.of.other.amino.acids","Glycan.biosynthesis.and.metabolism","Metabolism.of.cofactors.and.vitamins","Metabolism.of.terpenoids.and.polyketides","Biosynthesis.of.other.secondary.metabolites","Xenobiotics.biodegradation.and.metabolism"
"sig_1",1,0.786276514160894,0.900339902316243,0.92949913118335,0.902314416955411,0.971315187073965,0.939510922481464,0.678765074981277,0.835519517287507,0.844577156516347,0.858914299134016,0.818852857205057,0.860122372130691,0.880621333658673,0.775658176827355,0.838710754167956,0.925542446965736,0.912912536323484,0.858144428756194,0.822799363050264,0.815104309647729,0.963866847525993,0.941979748136374,0.93319627156317,0.855833018422631,0.949622891511159,0.89381396008198,0.795910179919034,0.552526867211954,0.0276845165669414,0.0528477841966896,-0.0232993370716514,0.0529916847051192,0.44596704157983,0.0176121995595135,0.0104858605965379,-0.0508380859857801,0.163129821612515,-9.96013157580765e-06,0.0245650189893336,0.0814174537824252
"sig_2",0.786276514160894,1,0.577526889101748,0.587282551388296,0.629293862825783,0.699930175145877,0.904371079377176,0.970983397906671,0.511831349569775,0.505708814748226,0.502575811366569,0.490059947426826,0.557449082789165,0.532183403503496,0.463940274855127,0.503566149644193,0.594899009616693,0.605953500427784,0.538628213368815,0.526157802676664,0.505797067259527,0.749731085264258,0.673499989055966,0.641481507666021,0.571868983510947,0.811920230398062,0.769904624641382,0.930439257391381,0.901296470623993,0.0275709517719066,-0.00608739213653254,-0.043231995860382,0.0882745022575873,0.377349285909469,0.0264845879552946,0.0079594081003204,-0.0756407424455309,0.134487342459198,-0.0177135680502359,0.0213905693785387,0.0331273957303957
"sig_3",0.900339902316243,0.577526889101748,0.999999999999996,0.911350671756503,0.955072862956094,0.953937948046275,0.795971987343695,0.48334734717412,0.988232957616418,0.985667656057373,0.862410592601943,0.978347800404369,0.989614370980746,0.917165953230348,0.950220055599032,0.985078365040655,0.949553629445211,0.957757711101832,0.991876868569168,0.919904645975296,0.972908924703582,0.882096478505207,0.9506390953579,0.972071244354174,0.972039143129721,0.873504054405389,0.838713010516399,0.62414578564036,0.370896445332256,0.0033018500690202,0.00998432220493637,-0.0131787570513258,0.00545689928901407,0.344492785077663,0.00126177309344392,-0.00476673001476931,-0.0233427803021931,0.10215804557205,0.00723375934630985,0.0185566189526656,0.0333288700650452
"sig_4",0.92949913118335,0.587282551388296,0.911350671756503,0.999999999999998,0.856597066822368,0.962103271031762,0.798647933853322,0.483077531344312,0.864910735302119,0.900679724096181,0.981856601284435,0.861537053880142,0.881990020512091,0.981181259655323,0.794587729138612,0.89023106373863,0.984719405959837,0.952943951511678,0.875177031069551,0.822108905959825,0.838364879920482,0.939863655681303,0.953214893309522,0.928479404118344,0.834941606457203,0.85279376241221,0.775717210822901,0.617918662562871,0.36659587244475,0.00634515885309044,0.0369866518209505,-0.0138135169505789,0.0214699212248356,0.32235390284342,0.00785601733277448,-0.00100549762328622,-0.026721913793721,0.109808824403722,-0.0108838596867552,0.00928897609386103,0.0654710292755001
"sig_5",0.902314416955411,0.629293862825783,0.955072862956094,0.856597066822368,0.999999999999999,0.922867061536894,0.838693029207433,0.538021109082225,0.9306231883293,0.923994096568243,0.790019500493749,0.91735508275498,0.934165875220669,0.85059030488815,0.891149771599157,0.930576691777883,0.894968679442178,0.908503197319569,0.946301958158185,0.961850899983605,0.927729254078554,0.870305258128384,0.911133406333107,0.949900675288707,0.969847023336221,0.889818112509552,0.915978734918415,0.691483092641503,0.422902214278749,-0.0220293484879105,0.0111916402947038,-0.0191323586793246,0.0180547230801785,0.350953128335636,-0.0165400029560077,-0.0188118100442369,-0.0319412111331944,0.149333400676137,-0.00649056240285851,0.027840028962112,0.0560416800350141
"sig_6",0.971315187073965,0.699930175145877,0.953937948046275,0.962103271031762,0.922867061536894,0.999999999999999,0.892268818337991,0.604108333547178,0.910420516695776,0.922811556454799,0.906354976672963,0.896611304934185,0.932200236293298,0.949925201192913,0.850056011654068,0.919451061406236,0.980822552423814,0.981459020051923,0.922089402861132,0.863440730266179,0.89111286163409,0.970584646032402,0.992702829621569,0.97496023810469,0.905026973290181,0.947158824652218,0.873585744855782,0.735559173123905,0.484374988763126,0.00597941179071885,0.00905701166627776,-0.0179753138061857,0.0174290184412225,0.409546031366191,-0.00393545985907611,-0.0043825883436039,-0.0327380356926523,0.106439337175964,-0.00956185558810195,0.0058737750281159,0.0363834957894109
"sig_7",0.939510922481464,0.904371079377176,0.795971987343695,0.798647933853322,0.838693029207433,0.892268818337991,0.999999999999999,0.847516075220738,0.730133443700291,0.726688769358438,0.710782680001516,0.709167400309487,0.765993523978214,0.751587157056989,0.677721931983739,0.728839866722049,0.814374309297079,0.814842972466455,0.758138882936344,0.733763179829087,0.726216029417618,0.930424966031117,0.864914089200812,0.867445186291671,0.785795224854951,0.97071215864895,0.934667064452021,0.947248181990307,0.750496615387504,0.0179137016151829,-0.00416808355604697,-0.0291159327497497,0.039318068494407,0.437972659174765,-0.00516454980515595,-0.00187151771556134,-0.0524297769318515,0.136771303370639,-0.0154182504249609,0.00813150126025339,0.0336081264222102
"sig_8",0.678765074981277,0.970983397906671,0.48334734717412,0.483077531344312,0.538021109082225,0.604108333547178,0.847516075220738,1,0.42908260681544,0.418124669557427,0.404747861876077,0.40572898905884,0.477982527306935,0.439467430286297,0.381991755219904,0.417963862233314,0.501028060611297,0.516107165178751,0.449127734454223,0.445895168451528,0.425979013289667,0.67028746982532,0.591529501008557,0.55018474457881,0.484887528857236,0.75166292614309,0.705433633889743,0.939516800317706,0.97713275055307,0.0221744208839034,-0.03735903480324,-0.0371190005114882,0.0471238981598821,0.301176196058935,0.0114512001417551,0.00435912779188373,-0.0629523160636079,0.123980726801225,-0.0307614260567674,0.0142176251433816,0.00787884235752937
"sig_9",0.835519517287507,0.511831349569775,0.988232957616418,0.864910735302119,0.9306231883293,0.910420516695776,0.730133443700291,0.42908260681544,0.999999999999995,0.990880446573552,0.821333271425539,0.994817760801978,0.994038174096175,0.884162367306605,0.977806093780461,0.991978808745459,0.914644959607369,0.931432462572185,0.995015757649606,0.91503460123718,0.989265725066292,0.823619307769066,0.915224811933091,0.940935529458888,0.969973051444179,0.821458082492808,0.785770109984362,0.563813674859724,0.327707475055537,-0.0049007681268474,-0.00996399680509915,-0.00928261957293012,-0.00291458069082927,0.303727663578569,-0.00647994097623338,-0.00485728684961866,-0.016088713714191,0.0756853357384409,0.00149715683799353,0.0089941669461508,0.011518230917554
"sig_10",0.844577156516347,0.505708814748226,0.985667656057373,0.900679724096181,0.923994096568243,0.922811556454799,0.726688769358438,0.418124669557427,0.990880446573552,1,0.871508885507818,0.992115687318833,0.988814441913001,0.924242281765232,0.959321568783153,0.997661484311904,0.940216555182198,0.950980951646058,0.989558913430313,0.916756182853328,0.980519474138627,0.841770432520238,0.929270064889449,0.943634995952785,0.959301629764895,0.813211803335541,0.777507470196293,0.552748943543781,0.313569925077734,-0.0121870632698685,0.000411865599524289,-0.00947736307713308,0.00350594918092321,0.273988189352728,-0.00622558874132192,-0.00858361554734173,-0.0161662252972043,0.0743789464092336,-0.00390215475572167,0.0150857982453066,0.0293430993660886
"sig_11",0.858914299134016,0.502575811366569,0.862410592601943,0.981856601284435,0.790019500493749,0.906354976672963,0.710782680001516,0.404747861876077,0.821333271425539,0.871508885507818,1,0.826753651613732,0.838624631777973,0.975079617033377,0.74438524271279,0.859260643901563,0.955485752007538,0.91392372214063,0.828779761724698,0.774266968940268,0.795140208067532,0.87655562873902,0.903113614862899,0.875170881906739,0.775735427292735,0.765304218190381,0.692140324063037,0.530263881634943,0.299341162089737,0.00361086180002619,0.026744677088015,-0.0114064332381113,0.0112662097757618,0.221245376607516,0.0098052923924649,-0.00402174476478134,-0.0203867028552647,0.0662858945545634,-0.012409454664968,0.00275092627962356,0.050886507888937
"sig_12",0.818852857205057,0.490059947426826,0.978347800404369,0.861537053880142,0.91735508275498,0.896611304934185,0.709167400309487,0.40572898905884,0.994817760801978,0.992115687318833,0.826753651613732,1,0.987387037866791,0.881825338346364,0.983075887178123,0.993423952784631,0.906601671764156,0.922258156476805,0.992638557254589,0.912660316966509,0.993856578483097,0.807939021889318,0.899672861616863,0.931005997743736,0.963348470087865,0.797299788020883,0.762286978376444,0.538727958911723,0.304131976508495,-0.012058876465091,-0.00167042804324047,-0.00888944136544256,-0.000905948647187989,0.27904903273258,-0.00975370894561789,-0.00781879807400795,-0.015392277047674,0.069009201048476,-0.0060690700610457,0.00520811520535394,0.0182489249362265
"sig_13",0.860122372130691,0.557449082789165,0.989614370980746,0.881990020512091,0.934165875220669,0.932200236293298,0.765993523978214,0.477982527306935,0.994038174096175,0.988814441913001,0.838624631777973,0.987387037866791,1,0.901538074990907,0.964068865233553,0.988730691198595,0.930287513017277,0.950834641190481,0.990071190429112,0.914618395494035,0.983338186489908,0.852967468758613,0.939332468955485,0.950902886239686,0.965755880815258,0.85074012267825,0.807818847389918,0.607767224991932,0.376872004202388,0.00391585696603395,-0.00868606863096559,-0.0105681089422606,-0.00364766163142149,0.304186646629276,-0.00501285905157174,-0.00125028138445134,-0.0183427851303923,0.0712277012519095,-0.00159229831832787,0.00640052435213009,0.0104377340175988
"sig_14",0.880621333658673,0.532183403503496,0.917165953230348,0.981181259655323,0.85059030488815,0.949925201192913,0.751587157056989,0.439467430286297,0.884162367306605,0.924242281765232,0.975079617033377,0.881825338346364,0.901538074990907,1,0.810331090498109,0.918163942148094,0.989882215649368,0.972902219991155,0.886940623697234,0.828851770078118,0.860798545057764,0.915726170745946,0.959572517493514,0.928373838506641,0.840541815593371,0.82750274297574,0.747577216311733,0.574438249741831,0.331164194373372,-0.0101904350773982,0.00418863732017589,-0.0112527925204827,-0.000218821616171459,0.272489362441213,-0.00706935646897815,-0.00876435705101397,-0.019142202825485,0.0554913818560025,-0.0108869128288639,-0.00118073167987468,0.0275555045688277
"sig_15",0.775658176827355,0.463940274855127,0.950220055599032,0.794587729138612,0.891149771599157,0.850056011654068,0.677721931983739,0.381991755219904,0.977806093780461,0.959321568783153,0.74438524271279,0.983075887178123,0.964068865233553,0.810331090498109,0.999999999999996,0.965294146864267,0.848348919011784,0.872099196470346,0.973324047372764,0.887261488539694,0.987147722548834,0.761278766305509,0.848261237912153,0.899867144959154,0.945183597316858,0.767784629536953,0.728778719931836,0.510179020706488,0.283376210010832,-0.00850042046658113,-0.0134037169342702,-0.00859724329624225,-0.0105563366944365,0.325261518116627,-0.018663675122816,-0.00931540960954103,-0.0147210052253178,0.0535456636075935,-0.00498099432356669,-0.00527267960650143,-0.0042661021012421
"sig_16",0.838710754167956,0.503566149644193,0.985078365040655,0.89023106373863,0.930576691777883,0.919451061406236,0.728839866722049,0.417963862233314,0.991978808745459,0.997661484311904,0.859260643901563,0.993423952784631,0.988730691198595,0.918163942148094,0.965294146864267,1,0.936010180879172,0.949261236486505,0.990741529732668,0.921565344363398,0.98700161391895,0.839641758046631,0.926448737199194,0.950251932712387,0.963560253140145,0.818112112964134,0.783796206759085,0.556559964201849,0.313656680464961,-0.0183797199374484,-0.00791020963354412,-0.00936417864065972,-0.00275039327177525,0.280037284032781,-0.0144221749924518,-0.0112921887386896,-0.0159465307769381,0.0643362169571883,-0.0073146791782452,0.00837794058039982,0.0164359146511529
"sig_17",0.925542446965736,0.594899009616693,0.949553629445211,0.984719405959837,0.894968679442178,0.980822552423814,0.814374309297079,0.501028060611297,0.914644959607369,0.940216555182198,0.955485752007538,0.906601671764156,0.930287513017277,0.989882215649368,0.848348919011784,0.936010180879172,0.999999999999998,0.986473038890606,0.919404825170304,0.857797363648295,0.891263959506966,0.94940255082542,0.983420863950666,0.963174791443837,0.883532123176548,0.886591941148554,0.807929989184334,0.641679786975609,0.38808963989722,-0.00481098221078867,0.00149743882453953,-0.0132647455589792,0.00740414647791104,0.339789614246413,-0.00818118282505686,-0.00797425660381348,-0.0232093908555796,0.0793968396014377,-0.0118016420280986,0.000745935791689178,0.0272881744004321
"sig_18",0.912912536323484,0.605953500427784,0.957757711101832,0.952943951511678,0.908503197319569,0.981459020051923,0.814842972466455,0.516107165178751,0.931432462572185,0.950980951646058,0.91392372214063,0.922258156476805,0.950834641190481,0.972902219991155,0.872099196470346,0.949261236486505,0.986473038890606,1,0.93439034999481,0.873081857844622,0.914796390828257,0.936274064722887,0.991616020318286,0.964795876957825,0.90607596981872,0.896121190721128,0.81871034648327,0.649045957277882,0.402399522602638,-0.00860073231650837,-0.0120951799866623,-0.0126038553502768,-0.00258396163418917,0.351265353033637,-0.014903319513825,-0.00830625097331109,-0.0228231843207866,0.0608657492022719,-0.0113895764060201,-0.00112092311089306,0.0118942303867442
"sig_19",0.858144428756194,0.538628213368815,0.991876868569168,0.875177031069551,0.946301958158185,0.922089402861132,0.758138882936344,0.449127734454223,0.995015757649606,0.989558913430313,0.828779761724698,0.992638557254589,0.990071190429112,0.886940623697234,0.973324047372764,0.990741529732668,0.919404825170304,0.93439034999481,0.999999999999996,0.923329085881144,0.990698525380886,0.840286983646176,0.920488568535934,0.954472263187226,0.981211373530398,0.839022242879277,0.816923537278947,0.588475314392456,0.340304706156863,-0.00770908207884108,-0.00466719816557019,-0.0110827123318206,0.003677228458111,0.318067548663673,-0.006957702035621,-0.00969684661511621,-0.0193038752053936,0.0843921409488499,0.00400473719672702,0.0133112981092836,0.0215898272280494
