"","sig_0","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","sig_30","sig_31","sig_32","sig_33","sig_34","sig_35","sig_36","sig_37","sig_38","sig_39","sig_40","sig_41","sig_42","sig_43","sig_44","sig_45","sig_46","sig_47","sig_48","sig_49","sig_50","sig_51","sig_52","sig_53","sig_54","sig_55","sig_56","sig_57","sig_58","sig_59","sig_60","sig_61","sig_62","sig_63","sig_64","sig_65","sig_66","sig_67","sig_68","sig_69","sig_70","sig_71","sig_72"
"AUS_1980",-0.195400464758751,0.950451254301353,-0.417136196295379,-0.315355088867165,0.302387014325026,0.385292845487144,0.743538875619525,-0.417052931014268,3.45541728154659,-0.0285320155938381,0.700835805794342,-0.458102098075406,0.963794245583956,-0.465257807193965,-0.442545378044591,0.360542816518474,1.96013403045641,0.806498555830924,-0.271908208272056,0.278323210732689,1.44027337076727,-0.355225056240419,0.631207282085698,-0.348678532446059,-0.349699272206657,0.749054017617939,-0.265108033294179,-0.210810517322889,1.60451321190506,0.580173104024083,-0.238926073065902,0.0297998978208941,1.43323330916684,-0.400319457231689,0.855456281103576,0.440190292109034,2.32706252776833,3.36065479222242,1.14625421434388,-0.303504518186044,1.12522117891528,-0.063431039365065,-0.439221928971096,1.07338446663577,-0.491886143271871,-0.241830243908122,0.164620090155947,0.70018385444959,-0.326686459040946,6.518415503264,4.00748830921568,1.99417450140006,0.701152514498418,0.966367229350506,0.762708876027747,-0.53410377515177,-0.447593658495122,-0.0952023018653712,-0.42506200856941,0.744516011385342,0.989987355191749,-0.51158272949944,2.35242965647423,2.05760073092395,0.884814582379399,0.154169761005376,0.729017375856524,-0.518662048428081,3.27111353551774,-0.523213441748712,0.783883526868141,-0.49928552013917,-0.53349313173314
"AUS_1981",-0.301959689270276,0.892453180290715,-0.458303096922319,-0.447801386433707,0.525821563353427,0.240881144997469,0.868118604218391,-0.428376736220928,1.53987939209717,0.283394280029518,0.518618791745825,-0.481489866490988,0.63525595912286,-0.536798397333283,-0.573903929626015,1.44096266341094,2.07084517189051,0.764240305416319,-0.072226345440993,0.414143712773817,1.61963834904258,-0.414054736256572,0.820575517431572,-0.350663955961062,-0.207014654127875,0.706151125621551,-0.290669107313168,-0.0277808642463656,2.01181725760147,0.798828319273659,-0.358071732083153,0.386793008664199,1.33898834848404,-0.405261286683312,3.5629466756389,1.67820761585919,1.48441734136096,2.46146360336448,0.126273392844879,0.0613993436970763,0.908900827721299,-0.266089370534387,-0.447527118744742,1.69027324446953,-0.513969392312004,-0.161512681004515,-0.00905752499809297,0.327434965207013,-0.328829549169363,3.77947982683359,0.30939059361639,1.50563710702707,2.75216009986387,0.627852261180648,0.700925725399987,-0.568776458470684,-0.311772048743811,-0.260935831208436,-0.438364235026411,0.960100498367692,0.598703908916642,-0.516461843527898,1.10831484146576,0.398398807892941,1.34541787633749,0.320162439341366,0.513221085268742,-0.561430403398408,1.22342875508639,-0.378478488689535,0.251447040385128,-0.57268369616301,-0.650531559445297
"AUS_1982",-0.195400464758751,0.710173519114424,-0.417136196295379,-0.315355088867165,0.321268807200666,0.319365764828814,0.499906846653143,-0.418198034911571,1.94080592709821,0.0231245683947431,0.652434411437705,-0.458864742697653,0.565394369473087,-0.449306189122361,-0.467175106466108,0.665929154398142,2.25926701836969,1.27784057968614,-0.109852965116249,0.00148906980768588,1.19811880300325,-0.367931705504051,0.377618225404815,-0.349086647279698,-0.318975212109401,0.635073200075296,-0.273759473731375,-0.00521556455199966,1.65911556585711,0.70279731257621,-0.137924423036049,-0.0145769861095192,1.3348515409808,-0.400721504373516,2.97632375682292,0.682688530781744,2.31918733911032,2.1066258248017,0.529183966461921,-0.178093515834878,0.652541748285756,-0.0720523523756714,-0.438648215203838,1.37591995921324,-0.489561590741331,-0.25330418146578,-0.108142831079564,0.268869982608826,-0.185956873941554,2.22494876723796,1.18348641730349,2.43385815633575,1.63875598209406,0.984183806622603,0.403165263346757,-0.534474209802614,-0.381001510024819,-0.130132686973551,-0.434212094976249,0.708089667033152,0.934642614521779,-0.471025094137887,1.73037224896999,0.685174448910646,0.984945733239853,0.170273528306629,0.618788817057365,-0.517061093963951,1.64189294727263,-0.27897320846135,0.2679141482145,-0.482057940362371,-0.581125049988087
"AUS_1983",-0.355239301526038,0.793027910558193,-0.477906382935147,-0.508004248963954,0.255182532135927,0.132049138831336,0.649147408899566,-0.431684814146469,2.07444810543189,0.140345278214985,0.186642169276184,-0.498013833306345,0.697564944486172,-0.561450897989399,-0.63020045173234,1.04766207674773,1.4119009743164,1.15106582844232,-0.217144712309059,0.155086078733608,1.21565249969067,-0.430973534447375,0.510485447990666,-0.351038980402785,-0.334076868767374,0.280644084851406,-0.394711105298148,-0.102998529894252,1.59270729753704,0.42282999305057,-0.421575763539049,0.144010172742578,0.720747770724136,-0.407221266499718,3.20194795636753,2.38017620149071,0.956779701274095,2.88888183663328,0.336803242122252,-0.0308146286199576,0.749858101650658,-0.400351951819565,-0.451816312147579,1.07692980443941,-0.529078983760516,-0.154956145257282,-0.290726990600478,0.270936981994644,-0.407171399419278,4.37168213525098,0.847295715885377,1.54227741160504,2.3810253939406,0.36654246118988,0.692988306742949,-0.573666195861813,-0.349353756296358,-0.452185883006413,-0.448052561810122,0.685787823552219,0.567354790075609,-0.53323379800072,0.952800489589699,0.541786628401794,1.04502442375613,0.206816692567164,0.199081344758667,-0.582471519212686,1.92644859795928,-0.306111012159946,0.397211439319195,-0.594978211168279,-0.697142793737638
"AUS_1984",-0.301959689270276,0.685317201681294,-0.458303096922319,-0.447801386433707,0.324415772679939,0.122630984451575,0.440805883256412,-0.426722697258157,2.34173246209925,0.0191509850110061,0.302805515732113,-0.488607882965296,0.59371663554732,-0.528580897114578,-0.576249618047112,0.948180163650563,1.67696899563458,1.14131392450049,-0.176537766322891,0.121530425288153,0.847207927407834,-0.414686558595648,0.307540997564645,-0.350266871258062,-0.334337242158029,0.493557690654376,-0.361846867273735,-0.133085596153406,1.19130620902464,0.577218303818008,-0.474193389602505,-0.0254132019529922,0.778663075769501,-0.405328294540283,3.51782183572998,1.06558048658076,1.70492262378532,2.29614145653409,0.583631341275035,-0.161231532325477,0.638162760564084,-0.298045704093702,-0.448319390137623,1.0284768544563,-0.530241260025786,-0.238551976034505,-0.128182555905031,0.187568006766637,-0.369310140483909,4.88985915511619,1.25072455758712,1.54227741160504,1.46295533191987,0.479380783913166,0.394584270204013,-0.55936741833927,-0.435725750846949,-0.383894089898932,-0.442977723971035,0.721470773121711,0.548777534466109,-0.526525016211591,2.81897271210241,0.828562269419498,1.3253916461654,0.100284078112722,0.33634270021893,-0.567529277547474,2.10499331995874,-0.315156946726145,0.319755043232892,-0.561681208238332,-0.65461429529572
"AUS_1985",-0.301959689270276,0.643890005959409,-0.472025397131299,-0.405659382662535,0.0883933617344452,0.03682113343597,0.439105136108305,-0.431303112847368,0.827121107650867,-0.300722477379824,0.327860355163784,-0.486319949098554,0.599381088762166,-0.549366338844244,-0.494150523308722,0.293450363499455,1.0063149657934,1.07142527958403,-0.312142613469359,0.109346527310934,0.777783966199558,-0.439748844712314,0.333795001726988,-0.351138251578535,-0.447599667092828,0.596652699780024,-0.368475893063275,-0.381303892791431,0.657088583872098,0.535112400881434,-0.430647768032748,-0.241793511970279,0.780413263559334,-0.405780597574838,0.900581121012498,0.772029987134848,1.11428347443435,0.953403044472681,-0.0624775065072491,-0.476339849157399,0.637288899431828,-0.359716829829573,-0.450969401348293,0.480722163793557,-0.524429878699435,-0.415578441209803,-0.0302105678694183,0.219261997349185,-0.405028309290861,1.04054415040319,0.30939059361639,0.406427969687837,1.87315684899296,0.0339663521107211,0.461945066374556,-0.57277715269979,-0.566272734976851,-0.268698139010254,-0.432981831257682,0.221909479148817,0.401320568065697,-0.539637635163071,0.486257433961522,0.173075089950459,0.46426374876549,-0.242230664871615,0.453096416832838,-0.562497706374494,0.743589814712832,-0.450845965219123,0.403310368144888,-0.570367382915709,-0.55390681098526
"AUS_1986",-0.4085189137818,0.428468588205611,-0.501430326150541,-0.550146252735127,0.0191601211904337,-0.180842878896295,0.363421888017526,-0.437664801165716,0.73802632209508,-0.177541392483976,-0.00468569547475893,-0.503860775410241,0.268954651229455,-0.603021781448732,-0.647793114890566,-0.183137406221846,0.675246071697197,0.0344728271025533,-0.266320096439097,-0.00949641197505235,0.579463640154071,-0.491698681480755,0.272668758829365,-0.351954481245815,-0.394223122008612,-0.0283207716897445,-0.441282820378898,-0.328651526837911,0.83712877798428,0.248496780892124,-0.505643005180663,-0.186838417335523,0.489033514549045,-0.408293392211257,0.0432091627429773,-0.0320431200430858,1.01190602188019,0.534049306171219,-0.251228405859377,-0.35198272077557,0.287506120765978,-0.499324625181327,-0.456870457240094,0.352499113228494,-0.524429878699435,-0.315591271064496,-0.178281867968696,-0.0425579248544732,-0.550044074647087,0.152240687777111,0.0404380324818961,0.638483232015008,0.64255229777369,-0.0254222387962716,0.31327936017651,-0.590854363660933,-0.453527612319209,-0.496860441738151,-0.447898778845301,0.155003948706019,0.0193257495953394,-0.540552469043406,2.04140095272211,0.193559064308867,0.123817835839944,-0.102871140149235,0.0310585310288715,-0.590552527460199,0.63757888602565,-0.450845965219123,0.000781065649139527,-0.634500305950346,-0.695781881787497
"AUS_1987",-0.4085189137818,0.420183149061234,-0.503390654751824,-0.544125966482102,-0.314418219612531,-0.157820723745767,0.313675033935385,-0.438173736231184,0.73802632209508,-0.378207353362696,-0.0764336447563624,-0.503352345662076,0.350145147308921,-0.607372222740988,-0.634891828574533,-0.310381713671708,0.198336539365692,0.115738693284487,-0.425767554072856,-0.28772870512695,0.641068520407149,-0.489030987160213,0.237497044761435,-0.352009631899009,-0.517119362397636,-0.0363250425845929,-0.442125493148755,-0.381303892791431,0.559689790336,-0.120853244867295,-0.526811015665962,-0.356089788605006,0.319848694865241,-0.408276640247014,-0.182415036801633,-0.146910706782791,0.366140551923131,0.985661024342024,-0.294786305709868,-0.51427931205355,0.345339839337121,-0.542258763974147,-0.457635408929772,-0.0493058378509691,-0.526173293097341,-0.461474191440435,-0.383132388406794,0.0731940407513548,-0.528375052237536,0.744442996194496,-0.0940382480853506,0.137732402782692,0.0370167249515082,-0.156077138791655,0.309846962919412,-0.592187928403968,-0.536602965856419,-0.502227995005365,-0.445361359925758,-0.0791654078437749,0.020099801912402,-0.540247524416628,0.252985906147433,0.541786628401794,-0.0163657753646923,-0.272580072477822,-0.0341930471186219,-0.590781235240789,0.710112679337932,-0.450845965219123,0.163012572412577,-0.638698623711079,-0.678430254423194
"AUS_1988",-0.301959689270276,0.155049096441175,-0.481827040137713,-0.375557951397411,-0.264066771944159,-0.221654881208595,-0.0362536917877076,-0.43499289207201,-0.152921533462793,-0.445758270886225,0.113185935487875,-0.486065734224472,0.116014414428601,-0.554200162502306,-0.449582443307881,-0.48158314551334,0.369725902547326,-0.39136031169078,-0.390003638341919,-0.358634996633715,0.340389316402703,-0.488539569785377,-0.182334096577326,-0.351722848502398,-0.502017705739663,-0.0100710340494899,-0.410216284263512,-0.381303892791431,0.531650743711971,0.202697377697956,-0.534673419560501,-0.5035827264745,0.385082967031724,-0.406819219357891,-0.362914396437322,-0.236252163135894,0.248012722052938,-0.328851655333713,-0.436349480223964,-0.535093322947966,0.0143053540542235,-0.456965240589214,-0.452034869773202,0.143324182813597,-0.526754431229976,-0.45655678963001,-0.200548228885881,-0.0294669287442903,-0.45098568648914,-0.365936332088101,-0.362990809219844,-0.106536294403803,0.408151430874781,-0.435203516054521,-0.0595647918757335,-0.583667931434577,-0.564954078571498,-0.242025528159327,-0.429137257137162,-0.0888295400188458,0.00810199099793279,-0.523780514570584,0.175228730209404,-0.216120422859283,-0.17657561674142,-0.346285776664325,0.18160324346916,-0.563869953058034,-0.0152252537848895,-0.27897320846135,-0.00958711335453884,-0.559075355835118,-0.511718540530878
"AUS_1989",-0.355239301526038,0.304187001039958,-0.497509668947976,-0.447801386433707,-0.128747256335409,-0.151541954159259,0.0976801461257484,-0.437155866100248,0.158910215982463,-0.378207353362696,-0.000130270123546006,-0.494963254817356,0.285948010873995,-0.597704575424864,-0.505878965414206,-0.277992253593561,0.347370768219287,-0.245081752563299,-0.340828254211881,-0.150909522923755,0.753852839639708,-0.485099648161521,-0.0805124834762235,-0.351844179939426,-0.475980366674191,0.0699716748989947,-0.404598465797801,-0.423927236658567,0.618719362176059,0.25736118151035,-0.535883020159661,-0.418441030561497,0.21510260744345,-0.407991856854886,0.0432091627429773,-0.00651698965648478,0.263763099368964,0.275985467216473,-0.38190210541085,-0.48002840805008,0.178511804997288,-0.562949915199603,-0.455313234157536,0.0907350053929025,-0.533728088821597,-0.448361119945969,-0.0602701551076175,0.124180025601541,-0.47336907227483,0.522367130537977,-0.295752668936221,0.137732402782692,0.486285053174418,-0.316426334240536,0.133507553836015,-0.589891233568741,-0.561657437558117,-0.351771348038218,-0.429752388996445,0.0293702304300979,-0.0391152003428814,-0.545431583071864,0.0197143783333448,-0.113700551067245,0.103791605667853,-0.291161342440806,0.146880082240672,-0.586283315555853,0.258171351776789,-0.514167507182513,0.134957499814389,-0.610758095165515,-0.541318375446453
