"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"BCA",0.42865800383812,-0.107793081850618,0.465589942730508,-0.520734998376623,-1.10638851338118,-0.0190417248990842,0.750278307298666,3.36868323464133,-0.0777962263464483,3.9235463669249,5.24585464788238,4.29355850371952,0.028952177509223,-2.49543352587391,-0.516708101885047,0.21449054267181,0.407085237912448,0.194435789986294,-0.0592024626631555,-0.0152709480493108
"KC",0.0616233561349351,0.402691662832005,-0.560392916012237,-0.55333155195687,-1.56177257812337,-0.339122962768268,0.847134512092637,-1.59596492429076,-1.78479315117519,0.132860726374915,-0.332686380391769,0.0537363512533451,-0.957942521070577,0.590674756661413,0.778255483469339,-0.169172939815827,-0.147462642381955,0.00134955958279043,-0.0338409964466134,0.00492097813589698
"KG",0.0992457113512196,0.358440815908696,-0.297870350096493,0.139957216706625,-0.604149523688199,-0.643181273168544,-0.54014596688767,0.139889459075771,0.179940296686539,0.426987470803252,-0.662384815389637,0.439485695794297,1.27649589268019,-0.0694368391165065,-1.46734946397588,-0.155688750493538,-0.277402117327356,0.00815601258488721,0.00970777347352188,0.00101384167899232
"KI",-0.0207000398740067,0.209330594445876,0.0928494497359752,-0.526726872812404,-0.589716844091068,0.542958423488696,0.463566400130557,-0.430975147590523,-0.917522815923527,1.24052793807993,-1.6255314420611,0.197458266944265,-2.00789042568346,-0.299983666883539,-0.968081178268525,-0.482032516412568,-0.217384089333651,-0.0253063321417217,0.0116242125458705,-0.00247213628534232
"LE",0.509716215826908,-0.452053668335741,-0.196552546558024,-0.302184492913941,-0.784804369403973,-1.49918051486028,0.0122440633770941,4.5112214433014,-5.12736019916198,-9.5146845271288,-1.19011055075467,1.06278161257226,-0.893267674747301,-7.7636627222937,-0.685666144230711,-0.275596918532946,-0.0137796135805234,-0.0253770924460053,0.0169560297851716,-0.0249965014363668
"OPENK",-0.0896398424810768,-0.120971852208509,0.368188892496252,-0.758720803107133,-1.02096623713625,0.0796242252284774,0.138361741965012,0.208597153077909,0.986639138902437,-0.238444901942083,-0.12340369715378,-0.345917743710941,0.0193232969888916,-0.0334302741873199,-0.152753519395476,-0.221244063428495,0.276573537953023,0.00912779837303761,-0.0132970581184344,-5.74903497247782e-05
"POP",-0.814375733622315,-3.92104361964746,-0.19475389054839,0.838374786171287,-0.336512204175672,1.99019539602544,-0.408156363653544,-7.2316922552192,6.40182317591436,4.24225942804085,-0.246531674633741,0.488219856780908,1.20359688804935,4.15080863166024,-0.555440336395052,0.488556384007114,1.29366902700576,0.391134108672464,-0.0955772154687196,0.0239415813071338
"RGDPCH",0.0677336698075,0.415923290595221,-0.33723987895795,-0.0309762963872915,-1.32953461177381,-1.10718752587275,0.15106679461585,-0.445000270686445,0.0786192196637058,-0.049894071315246,-0.598517715118538,1.35444536192285,-3.76264204982483,1.82736584327268,-3.27457270086581,7.45862466527179,-11.9127884122103,1.35856896576101,-20.5225844825585,2.05376844270197
"RGDPL",0.0551675848313599,0.452239562306796,-0.336247961648736,-0.168313893257568,-1.24931454713822,-0.517909100640799,0.229584519149229,-0.650248384647177,-0.448061614060501,0.314641022458471,-0.62426331269151,1.46048700845688,-3.23089737388866,1.34605618266203,-2.68274774335087,5.31787169076731,-7.38280875110832,0.67829342292613,23.6015374547937,-2.19644016027527
"RGDPL2",0.0969635005221645,0.886379151925309,-1.06670434700217,-0.346415980544308,0.160089448185632,0.843616278840692,-1.55957714982575,-0.881450421125783,-3.65858648252096,1.59740757701074,-0.157133519479985,-1.03544921933142,0.958077902141134,-1.05352763522645,2.69946535990528,-13.8405437132192,17.9812722072797,-1.94220596628137,-3.03285199718645,0.141691263930502
"BCAperRGDPL",-0.287217486067817,0.188783907861616,-0.0675196572355622,0.999505534651344,0.579662157052662,-0.039530308803196,-0.558280508556044,-2.49439327292244,-0.252496783497527,-2.90470850785416,-5.26620697522846,-3.82754569573554,0.0182867911001838,3.18634183914647,0.914799725410961,0.472869863807743,0.183891762171117,-0.0777148516390278,0.0324821408131279,0.0173616154535878
"KCxRGDPL",-0.136814002961402,-1.25886587765677,2.32962251459754,-0.119960363000808,1.2554311550639,-0.407374776599469,0.03732939675744,1.83272843141646,3.63394437927505,0.160119637294196,-0.74978994727727,-1.19901477343517,2.66440735880479,-2.05968453075927,-1.12644189352031,0.195262636458733,0.346680805896162,-0.00816764549934124,0.0389987224284292,-0.00554898531837247
"KGxRGDPL",-0.159907978445704,-0.566655422264275,0.304517594349268,-0.100237263563305,0.772924360235186,1.3047113233185,1.83443599219097,-0.617027793181926,-0.748628294735083,-0.736415299430933,0.40521543861362,0.0995977884437738,-1.19225995478792,0.32459502399041,1.43794655705172,-0.0461542356542501,0.429948751584867,0.0783180483868634,-0.0472575003567264,0.00401123379571684
"KIxRGDPL",0.0417543898086569,-0.405198123697431,-0.359435680541503,0.456143498670271,0.550393103692164,-0.171269661557259,-0.384610860713952,-0.412476210261538,0.158892163206723,-1.67836335613644,1.5820582074281,-0.331145266544081,5.25345475229606,-0.250750231068351,3.31095994117901,1.04350696161574,0.623824651872573,-0.118971747880741,-0.0684267625795979,0.00806803187733459
"KCxRGDPLxPOP",-0.382414896633951,1.66042315370247,0.193347823592229,1.63498151789199,0.669685965938866,0.493950203213986,0.691676523798546,0.376859523146893,-0.93272448934808,-0.891779988196257,-1.27896232794339,5.03690645362848,-1.01884331003299,-0.448521205640228,-1.3677819850691,17.5489673116883,15.2670128260513,3.12386159274181,-0.576777070889613,0.0662778185899436
"KGxRGDPLxPOP",0.162314275344553,-0.69925386817667,-2.17553459218954,-4.61340304781675,2.3042419654831,-2.54627740507011,-0.882916468654034,3.00353362747059,-1.05984513174647,3.13370879007079,0.292177145447393,-6.20326605844081,-0.374421301999944,3.41626944919749,-1.37010787055116,2.07813276563958,-0.691963673351627,-1.25868085295784,0.153039934571717,-0.0362653041327463
"KIxRGDPLxPOP",0.220227269942844,-0.0171419865349235,0.393518087497786,-1.13499086488311,-0.421122823016397,-0.112211306341862,0.976785521459351,1.26694513086441,-0.0427022333394143,3.43197553657491,4.45681997297498,-4.83925082035497,-1.1165836620524,2.80653972604591,-4.77821915468381,3.42987469453577,3.15756479140785,1.1592885078194,-0.0702790343207382,0.020313331908457
"RGDPCHxPOP",-0.191847599092742,1.07605084683336,0.652854873182678,1.4160398707947,-0.797621067672853,0.484398738844345,0.118066542076867,-0.377062797104283,0.405489024388907,-0.0563742635544862,-0.601069548691407,2.37077345869869,0.424930921842733,-0.129700025678678,2.5516456318643,-5.86581391168871,-5.95908631566621,-14.5377824348322,-2.01963204646799,-21.8171416082891
"RGDPLxPOP",-0.178914996873361,1.10192113203555,0.682950276055772,1.42619245510262,-0.829663499561528,0.545132766132004,0.0900344091686998,-0.335588455437629,0.356731167012128,0.0401048711061205,-0.470716730801346,2.2834305476191,0.442624675714246,-0.296131770138036,2.56004590100917,-6.19310945049231,-5.79576422622102,-13.0847563796486,2.23729595186305,22.6715742919884
"RGDPL2xPOP",-0.214461412695816,1.36681915882272,0.468083383833415,0.988337804538816,-0.466309239887756,0.728595808333939,-0.672807682936058,-0.284182208432995,-0.102444565933713,0.336242928951634,-0.463937259888921,0.212502755407348,1.31564071973448,-1.27517537272363,3.75087278934034,-10.6823856299786,-6.83661644430548,24.3139742973159,0.339044006408658,-0.903876619074638
