"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"sig_0",-0.709626625182663,-0.48076081932482,0.153171656639121,0.197710762139437,-0.0161805247436884,0.0364898103844662,0.0460170370387636,-0.0875282051278325,0.109644730281481,0.0324332832355816,-0.0111930891612652,0.0502220433385095,0.0139105104684005,0.0238955785004518,-0.00158857222018216,-0.00143866777341548,-0.0180693565603356,-0.0512440852208126,0.00473239461355488,-0.0166892507526114
"sig_1",0.43112024221708,0.198404520344834,0.184980156080953,-0.176070265779507,0.323998529933984,0.102173673020514,-0.0234268537361695,-0.0187338811580567,-0.233881906677045,0.0107739473236067,-0.0102517671254958,0.0477702864060556,0.0565327938247889,-0.0727736570514897,-0.00700611248955959,-0.0501469468162197,0.0675084202452777,0.121901062215516,0.0218873517400826,0.0115838314373588
"sig_2",-0.83081555991415,-0.32346953103533,-0.0219852273075944,0.162987400934718,-0.104082737598782,-0.0608955886527982,0.0073233320046953,-0.0635493170624011,0.0933149324490716,0.00686305848832537,-0.0285217513504329,0.0704330400738793,0.0122320258627247,0.026850299670209,0.0205881161718855,0.00368926149857968,-0.0164296846948719,-0.0344537807275246,-0.0112071733244102,-0.00629197965589633
"sig_3",-0.601745918932,-0.459552633094569,0.292229490870284,0.193064106623979,-0.0225458674016088,0.0506892946042631,0.0828081262220592,-0.0942672138574209,0.129441923431434,0.0486036962297015,-0.0121979233786569,0.0291370078008758,0.0123675689021127,0.0481468814631955,-0.00440535122584052,-0.0205209479221701,-0.0311506143577946,-0.0677503083581759,0.0144035699902454,-0.0236933204675798
"sig_4",0.412091508056629,0.320353646780678,-0.00654956504976404,-0.321772048661493,-0.0385177963216212,0.0389404877346842,-0.0965083086848022,0.0692853333791426,-0.0464602375646022,-0.0795808133509424,0.0312746518661721,0.0198786451929885,0.0527167579891172,-0.0546718580423787,0.00487516789584414,-0.0146758945845282,0.0269342991958968,0.097999187835182,-0.00242525114605009,0.0138511193125232
"sig_5",-0.660124037498033,-0.347549345599665,0.171635025149282,0.122083219316974,-0.0346575368343768,0.168417471450968,0.0633555473401678,-0.114777642927599,0.102939037495266,0.0931688010332293,-0.0150861253708661,-0.0405682541146267,0.0175809872925918,0.0391017050116487,0.00421527897488208,-0.0385458920246379,-0.0403573879953411,-0.00418770028806799,0.0242312637750948,-0.029894883937035
"sig_6",0.463569874943185,0.306372553765539,0.030754923252284,-0.164924747691181,0.226016133481791,0.0143416634072369,-0.0153888047826524,-0.00957883340324391,-0.26711339460484,0.00379774725267996,-0.017607958608717,0.0816944430001693,0.0538864554854667,-0.0693135212374573,-0.0143347710069911,-0.0378956573347588,0.0756926269892304,0.117676167689814,0.000521942151377991,0.0184336809826182
"sig_7",-0.882064526545662,-0.193870540370344,-0.0954956489596631,0.0875215355639763,-0.060466239663435,-0.0995758672790262,-0.0303718992034388,-0.0391316202798796,0.0702737041767244,-0.0230376406772684,-0.055235981801691,0.0761191553634997,0.0142411389820284,0.0132710656105288,0.0359675199521948,0.00176142922287755,-0.00778551400388247,-0.00119159245034865,-0.0148707676717025,0.00187559012521407
"sig_8",-0.0091223757744561,-0.170788130231883,0.0383883464900799,-0.0518823314824951,0.16698794956829,0.253824299569406,-0.0799069336568768,-0.0381990070974156,0.123268914774989,-0.0407609899169772,0.0462455704110352,-0.013663368212167,0.0267947972754444,-0.0249280758638833,0.0194876658592749,-0.0403907224514486,0.0201202544823764,0.0596489439607248,0.0792786288328698,0.00636918972719659
"sig_9",0.412739174762739,0.3663818195284,-0.0730536477682119,-0.315223681080369,-0.0917656712032265,-0.0433811495324256,-0.0865444826363208,-0.0347169640240745,-0.188136317193379,-0.0293937709011835,-0.0133811003878101,0.0732261484980271,0.0271648747645378,-0.0364648862625022,-0.0390593649057437,-0.0143931150328284,0.0403735893570226,0.0949352007709381,-0.0106387242670682,0.019403809306369
"sig_10",-0.141505432901888,-0.355138512670578,0.482660251723474,0.0184348367166708,0.229517227587141,0.206494029490271,0.0523533928652903,-0.0296043898514648,0.0763154534750702,0.0408391705616794,0.00752610857288919,-0.0528633717991576,0.0315629835589403,-0.00777170050716837,-0.0216291741037443,-0.0490918949114397,-0.0188093495788737,0.022494953069047,0.0483130934972564,-0.018687211352332
"sig_11",-0.840429584053011,-0.235464521541526,0.0232053817703983,0.184595640698898,-0.116572481404404,-0.0519183916356659,0.00869502993389986,-0.0705722808247458,0.0877291826413372,0.00615909647450009,-0.0445545880882973,0.0759659266550077,0.0109474620144217,0.0341200853052226,0.0291206533986876,-0.00394075734037756,-0.020323290355149,-0.0320740895035697,-0.0133095304103026,-0.00926175668598488
"sig_12",0.342662746308857,0.110206110038113,0.261694895056611,-0.173137994890516,0.349595940806119,0.128296192324272,-0.0395436471301823,-0.00949974174997479,-0.203285401601861,0.00439382944059987,0.00660416576453478,0.0215463961961673,0.0787124154240602,-0.0807648855644744,0.0243389160958126,-0.0448181289758314,0.0608754027161046,0.121546227266281,0.022949272168184,0.0109541492738955
"sig_13",-0.643791442063458,-0.410302037032618,0.13087990522724,0.220976308310854,-0.128176196217283,-0.0265902600229307,0.0782021022799703,-0.116868495540539,0.14603866502191,0.0343487984064126,-0.0260049526251479,0.0612224360755398,0.00457530746645138,0.0633326385569287,0.00706812806848177,-0.0184030992418799,-0.0330486061397969,-0.0860919347055949,0.00436687890785448,-0.023057031891512
"sig_14",-0.576472978009792,-0.379878864124205,0.380192699325572,0.159656715731276,-0.033823400916552,0.0533182647471016,0.0996978948281876,-0.0730096654083003,0.115847841050965,0.0745735181039373,-0.014821218879967,0.0108115814005636,0.0130469193106204,0.0599547756484791,-0.00231954214038834,-0.0356766468863781,-0.0426560892579749,-0.0664929722421324,0.0214135882231329,-0.0216038442835693
"sig_15",0.360585729224156,0.297614912448269,-0.0900830218748634,-0.191710755885314,0.0331160064737165,0.0969553577642671,-0.020096565766713,0.14420885399442,0.0313471830710491,-0.0573148283961326,-0.0028049822417871,0.0119276007720275,0.0530860666942426,-0.0803082353931605,0.0123993651156601,0.00568268281223008,0.0269381587618791,0.0734520298078854,-0.0179681888723655,0.01901652249824
"sig_16",-0.0508898777459891,-0.284907476584823,0.054015304868179,-0.144703497044634,0.112899433099522,0.421667610148727,-0.0305156614092754,-0.01846481800346,0.0899922376542684,-0.0462535214670548,0.0203071536904012,-0.0343477045287564,0.0230627533347141,-0.0710995946947562,-0.0144897232437699,-0.0476402347132726,-0.0293596603128912,0.11411737836918,0.074186456524801,-0.0019735279985428
"sig_17",-0.0749206660068352,-0.202268647901507,0.362856922976471,-0.0241600441314443,0.123132193419076,0.00642980847631843,0.0157021076907983,-0.0153686866812376,0.103801067284892,0.0879163116718577,0.0359999841569967,-0.0689461081692482,0.047543449125034,-0.00631250879477625,0.00319271308948339,-0.100932788903114,-0.0373725988156275,0.00609566769412644,0.0622395086636349,-0.0342475495282372
"sig_18",0.240667398797187,0.294801294034401,-0.130511470614172,-0.263329451883251,-0.318543650720557,-0.0512579892291309,-0.0439826398277149,0.0985233500562593,0.119648444207823,-0.0756247579260498,0.0276805258765702,-0.0529831395293505,0.0366060581180475,-0.0092625936721086,0.0122453187609682,0.00523524069590336,-0.0253037168737802,0.0336028881991882,0.016992350631736,-0.00547217402363583
"sig_19",0.388501944813719,0.289279533252091,0.046638795843877,-0.257554526421747,0.0626176195647526,-0.0493953546382823,-0.0613558951628747,-0.0315244499186759,-0.216209243183447,-0.0260065414445593,0.00806521779956384,0.07743957665987,0.053395697627246,-0.0620328685805046,-0.0131644351941016,-0.0278748065317377,0.0697335781374861,0.106554553108203,-0.0311145907682657,0.0223339108889381
"sig_20",-0.258975182929135,-0.227155911335065,0.225784954125816,0.0217129630856008,0.0283621154695917,0.415818258089832,0.0878804215715306,-0.0991065828936636,-0.00272567391942653,0.102775098442817,-0.0591237305234223,-0.0673476928432138,0.0431329395054898,-0.00956580446981422,0.0331933460402959,0.00958932270203853,-0.0498508711883869,0.0878644949701898,0.0430115644991225,-0.00265553744327066
"sig_21",-0.859940303836005,-0.159304829571127,0.00192099604932757,0.113933341862484,-0.0505396929716297,-0.0104163526048933,0.0107973106836473,-0.103024217786465,0.0945118001505486,0.0387866844204247,-0.034987584177016,0.0198112873236104,0.00778663733527147,0.0448214636536323,0.0178334551462736,-0.0273169037595405,-0.0251026539223828,-0.00583661661338461,-0.00714025020272143,-0.0362638109270621
"sig_22",0.43363792055191,0.31520499678935,-0.0112024396971328,-0.1515278596565,0.181203713636629,-0.0287837185831962,0.0023946482573687,-0.00882208278673966,-0.257407551039692,0.00293278492205746,-0.0101191555647089,0.0895583504224787,0.0561073167619104,-0.0672175394638329,-0.0213476288628484,-0.0390276063369848,0.0777444887742149,0.119044970138239,-0.00841489091673763,0.0188568161596373
"sig_23",-0.893589352216827,-0.0965924209911546,-0.138390861036043,0.0109159802800838,-0.0075908951990321,-0.108926280398307,-0.0512607533183999,-0.0250557437930947,0.0535703416386475,-0.0443180690271073,-0.0807645076312628,0.0587921170425346,0.0129535818858027,0.00616088860132965,0.0414076772612926,-0.0033240581718852,-0.00469421943995214,0.0217933579919074,-0.0110079909821289,0.00379460909751692
"sig_24",0.29620179067126,0.317754582736665,-0.0548168366954673,-0.359966376714763,-0.308391060646783,-0.129031719417263,-0.148445131818572,-0.0397624739929487,-0.0645487331054754,-0.0619571106722542,0.0208663687986349,0.00978809966290171,-0.00403572339496921,-0.00264669448621267,-0.0194647279320007,-0.00451732354355453,0.0147056422725955,0.0517933622584204,-0.00478330950004673,0.0045845593308626
"sig_25",0.134599319417836,-0.113641640100635,0.499105790888811,-0.141928057401037,0.280976237797419,0.0577020121583107,0.0504785334914404,0.0107936877097591,-0.0590790016697067,0.0350684640429206,0.00760008503646711,-0.0390042675306141,0.0882150138805931,-0.0565241883199094,-0.00218914540443213,-0.0251525184310404,-0.00944751375648048,0.0902320993217187,0.0478730903840989,0.000422753559854841
"sig_26",-0.811918043365393,-0.226805384543984,0.0922116372641997,0.186917286906668,-0.106010799000592,0.0723465740924504,0.0232327552408941,-0.0951302236183427,0.0687600472827578,0.0555386232240599,-0.0290417680387988,-0.000977489386342551,0.0109018035530237,0.0474724225303923,0.0152926049175808,-0.0288913501275831,-0.038925121905332,-0.0103701973982495,-0.00268906043856508,-0.0168436414172123
