"","BCA","KC","KG","KI","LE","OPENK","POP","RGDPCH","RGDPL","RGDPL2","BCAperRGDPL","KCxRGDPL","KGxRGDPL","KIxRGDPL","KCxRGDPLxPOP","KGxRGDPLxPOP","KIxRGDPLxPOP","RGDPCHxPOP","RGDPLxPOP","RGDPL2xPOP","sig_0","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","sig_30","sig_31","sig_32","sig_33","sig_34","sig_35","sig_36","sig_37","sig_38","sig_39","sig_40","sig_41","sig_42","sig_43","sig_44","sig_45","sig_46","sig_47","sig_48","sig_49","sig_50","sig_51","sig_52","sig_53","sig_54","sig_55","sig_56","sig_57","sig_58","sig_59","sig_60","sig_61","sig_62","sig_63","sig_64","sig_65","sig_66","sig_67","sig_68","sig_69","sig_70","sig_71","sig_72"
"BCA",1,-0.213070512015375,-0.00822230770605696,0.0527294789920746,-0.487326888380371,0.123030629291959,-0.490624001454066,-0.0921593548842125,-0.0923306070495057,-0.0951829451424697,0.988970160794052,-0.243679128737742,-0.105366600497136,-0.0408945928185561,-0.641228709187475,-0.578483340097694,-0.588069833847889,-0.609979705288104,-0.609879694157691,-0.609131268061755,-0.21751210850621,0.124397796679398,-0.369259379947918,-0.134505193625814,0.0779972159709823,-0.259325746061783,0.108297381802686,-0.489575045982968,-0.00586860050596503,0.0587768809899034,0.0625370040108295,-0.398568548367289,0.108171696623555,-0.178951901621541,-0.135158782957315,0.0637256954048224,0.00576569715611104,0.040629252896866,0.02710741726524,0.070827062635265,-0.0602948413938564,-0.491560615271006,0.0889561616839018,-0.57139844339916,0.0308926216164261,0.112447103124086,-0.382581793260052,0.0360778295445898,0.0204275068551899,0.0961513835476176,-0.116043546968285,0.0522721456027443,0.153247123722361,-0.542196237532799,0.0370040000890371,0.0562130412567086,0.0394607207658645,0.0383553273031078,-0.245114727578688,0.030502044970265,0.116471586251901,-0.0517005639000111,-0.450728443044038,0.0910474063430821,-0.229856432716237,0.0260042534051571,0.0744885641637056,-0.323848527967956,-0.107588726700941,0.0398756601659096,-0.0377520817473614,0.0428746376330413,0.0679508106528248,-0.115331841511323,0.0859615620705079,-0.198719490804265,0.0258712145000405,0.0280199329322758,-0.510251530860885,0.0832067509359466,-0.0184411984368136,-0.216857989410338,0.0415903006869237,-0.0460276345730348,-0.0403264744727256,0.0623723571756836,0.0916939567820466,-0.208056549898906,0.010988317254406,-0.0738137616374286,0.101697130276343,-0.170944827686509,-0.138542358293858
"KC",-0.213070512015375,1,0.0985583681773804,-0.592427282310612,0.218367967189537,-0.680388627890914,0.233789630069434,-0.421788994447781,-0.420614295158986,-0.410755017981668,-0.227289609638948,0.0257691238451227,-0.315744736774511,-0.660220574260508,0.236993724152258,0.235832463814952,0.175043429347553,0.220919302446974,0.221016912665616,0.221810557503152,0.131580049633677,-0.261690881326542,0.231396534319586,0.103313086621793,-0.20814309372797,0.0482981376597768,-0.17130133067789,0.241430775571115,-0.237820215967399,-0.129697014793333,-0.187807841661553,0.231179258032166,-0.282740843914252,0.205963306496685,0.0889293364844249,-0.171348066462571,-0.347198513116301,-0.0379935345239043,-0.0164939107553524,-0.133251105487419,-0.211547950121658,0.205203989991247,-0.114580771611348,0.228077986645838,-0.0522676024592389,-0.174745167472221,0.147467108612426,-0.0402850722639838,-0.364180242190196,-0.389280066701643,0.139513152682468,-0.0791842307080918,-0.309531096343612,0.23525075748254,-0.199937047403828,-0.0747344076652414,-0.436372775276452,-0.162663310104052,0.0413939856888583,-0.0541230536850376,-0.234162972539583,0.10525784949507,0.236026676429287,-0.424987889883298,0.22337036383195,0.0395777463653453,-0.279954784197467,-0.062484424368082,0.0829122838379244,-0.0687797573563281,-0.154857193807118,-0.39840917175215,-0.106593687992115,-0.029203021625936,-0.158477836989643,0.241321454266849,-0.0223737944019969,-0.0714524930475348,0.21821358996316,-0.322160834145917,-0.137424155077025,0.21619781924068,-0.339284903051066,-0.21722302795873,-0.00704910725078701,-0.189836334027262,-0.28684867526487,0.209887717136238,-0.306803721545003,0.180674741954258,-0.295676202113384,0.184282053943912,0.0736931175914965
"KG",-0.00822230770605696,0.0985583681773804,1,-0.260289979923862,-0.0945774437607501,0.0228499200844176,-0.0897024960589256,-0.332013203723419,-0.331385023110855,-0.328835496304222,-0.0250974338680874,-0.32335703566509,0.379271868218518,-0.395729821359691,-0.0791834370594758,-0.0327995458772363,-0.129464339416492,-0.090473002779536,-0.0902966826921607,-0.0882669506059273,-0.126165631254484,-0.00670989154676648,-0.0730932635239858,-0.150941906709894,0.0342138038161432,-0.132846035839563,0.0780184271602484,-0.0501632415715934,-0.0724149704654397,0.0747394475377073,-0.194509936737124,-0.084445539540228,-0.0725957056603693,-0.0882910898509857,-0.169354954297433,0.110587895368727,-0.0602337703791758,-0.165049275216548,0.0760606752627334,0.0288466147386516,-0.109557086105123,-0.0787873787417132,0.10562207161558,-0.032261854679584,-0.0157126066765346,-0.150628787653923,-0.120572529295302,0.1407175301691,-0.0198171794937226,-0.147586410766885,-0.0901326363347029,0.114136367223103,-0.177731088478417,-0.0600761689343574,-0.0406943018382677,0.146073910261307,0.0158559630498698,-0.0811096654426807,-0.0168287020452459,0.048715011805336,-0.0524977402268572,-0.0903601134131315,-0.0721002792606223,-0.0976262370268128,-0.0756988189147859,0.0816339237272384,-0.0664951698460634,-0.125737423174095,-0.119311259318244,-0.0298133650724458,-0.0180847052093533,-0.000645603815431097,-0.0587517140699789,-0.0430933150700668,0.0607649808425759,-0.0592257777572806,-0.00606750759832027,-0.183579700508822,-0.100461523165536,0.0148331725564249,-0.168412984286783,-0.08203366414712,0.00361266543480955,-0.0473028030784893,-0.0609388578708339,0.0609377036939191,-0.222872014011481,-0.0931548881089148,-0.124189224008038,-0.0156734104175782,-0.136692368844384,-0.104001205756824,-0.181089920236224
"KI",0.0527294789920746,-0.592427282310612,-0.260289979923862,1,-0.0616520533125671,0.279624133296082,-0.0744296654947533,-0.0213233688773432,-0.0231037772569699,-0.0362653850558403,0.0624962931656342,-0.265367759518101,-0.216360513721484,0.435133289368895,-0.109137983598373,-0.131896503791671,0.000284396099399947,-0.0894750597388985,-0.0897024276166251,-0.0919408296530915,-0.087624205383737,0.150159367000616,-0.144795323369179,-0.0853266490270198,0.124794825101086,0.0465404024506837,0.100427674377211,-0.160313486825845,0.159586706778553,0.0997791031571388,0.0897294819526162,-0.141863973975349,0.161143560650997,-0.144407623291378,-0.0755541559675822,0.128196604252671,0.313619392096196,-0.0207628600750152,0.0342784963686208,0.0679265431236219,0.313297693207452,-0.104708918955138,0.0615666152621389,-0.154405450843219,0.0376373572774195,0.0538562811005116,-0.0320165931758896,0.0840396718349633,0.377860523576412,0.193250951276887,-0.0924682943493816,0.0665459896481354,0.163520183278128,-0.153696926229938,0.128282907558978,0.0412420833453929,0.323659705610501,0.112323338749259,-0.00910118269200147,0.0505310892451268,0.11167229036937,-0.0661503254335727,-0.153473226797028,0.262370857406936,-0.168951994451169,0.0190265414362333,0.126376295081798,0.195886572025846,-0.040245616435778,0.0359167010351829,0.136415019304694,0.288086882600739,0.0154670467561527,0.00520380483564421,0.104971363279561,-0.183435082921196,0.0423035198459536,0.0100575534468802,-0.117341032671183,0.171507069632135,0.148407213033366,-0.157027731239914,0.220623572140086,0.176246389316339,-0.0322737566294048,0.128522965330194,0.145761423209276,-0.142521367121641,0.201450631924762,-0.160096906803883,0.161937019845162,-0.129392596191191,-0.0600785047168279
"LE",-0.487326888380371,0.218367967189537,-0.0945774437607501,-0.0616520533125671,1,-0.338222433618261,0.996739782167869,0.159330129611042,0.159603620590152,0.163756291993752,-0.43785181085567,0.343636308142711,0.13366384928185,0.0824255705301954,0.96790749382086,0.974431558337729,0.969058877839125,0.977548779464344,0.977590749051896,0.977793429835649,0.755167640777007,-0.495339776635002,0.865678336483633,0.634585942758096,-0.475996592424018,0.667213667752927,-0.516333316951969,0.887794808797567,-0.0134599453187129,-0.465498621168924,0.125690097874572,0.85750176748229,-0.405177164359599,0.689309346202894,0.589231435542563,-0.413668658780294,0.0382580625485247,0.0587346518438911,-0.274591473359214,-0.440930742278929,0.241007673648665,0.843379952814416,-0.479370418130026,0.872324485533499,-0.337586191319255,-0.180883125220984,0.818808732778915,-0.296646169939131,-0.065481628880845,-0.218983737170524,0.510502829334975,-0.434724730895423,-0.152642190812208,0.871862156717609,-0.112593613632866,-0.362843931526105,-0.142238868686399,-0.137581275203372,0.447962497115805,-0.357068815734456,-0.413676110290267,0.485561198393891,0.859423179684092,-0.295904756830013,0.674207225345452,-0.289114403608061,-0.358613694846263,0.585189618621128,0.48364760043147,-0.126655487226358,0.0372219611628937,-0.175656530944892,-0.235102829502679,0.252411414503877,-0.435167881931241,0.687797559901519,-0.320110874081595,0.266271034633815,0.874840664335651,-0.414580823479526,0.203553714657435,0.691928965107122,-0.153558832528984,0.017345851847955,0.156833308653138,-0.415067280636345,-0.0925679657398948,0.683913511184338,-0.0722565430704255,0.537704337399059,-0.332414914049466,0.639341729592456,0.539538986837036
"OPENK",0.123030629291959,-0.680388627890914,0.0228499200844176,0.279624133296082,-0.338222433618261,1,-0.352844779852745,0.382698088442116,0.381866724031382,0.372129835592114,0.112974942616059,0.0200456951125952,0.364418197112891,0.502729566001142,-0.284885959024206,-0.288657500943981,-0.293173281612746,-0.289668080149457,-0.289689024938427,-0.289539520945931,-0.281644835058394,0.169189606079096,-0.298916698236256,-0.221847524541516,0.381652830452339,-0.171498777231046,0.145162483853651,-0.279052639203842,0.105461217912508,0.31341717547784,0.0111669394784889,-0.282845747149654,0.16156875716121,-0.264723166783037,-0.170579169643184,0.270624313843771,0.199858435068421,-0.00704670905306907,0.340857421185269,0.226603732996464,0.0534799867019669,-0.256182876601539,0.117752192202944,-0.246005931236354,0.373401107522679,0.102062351434773,-0.239461852372352,0.303874820584293,0.264339760905369,0.280141335679816,-0.176478783906389,0.208464573387038,0.135932725631511,-0.257383387286032,0.0357455391877269,0.00610515278613775,0.344249299617261,0.0606687278996135,-0.12949933086806,0.303904091187837,0.136323128555464,-0.184447071367113,-0.272575073773952,0.301002412449915,-0.248849764959341,0.299012004699609,0.346060022876848,-0.0845117603457849,-0.116589589203724,-0.0371542097094922,0.0751312888847007,0.316755206900323,-0.0265183193149437,-0.0522031902749698,0.097025410759601,-0.286996842813041,0.343823917359831,-0.0157165882721577,-0.252200804130201,0.310937357031148,0.0251536997880753,-0.258052917475046,0.282387444721625,0.16354982284998,-0.0611532276876558,0.262005976784018,0.131478282360134,-0.246429533098759,0.190176820966705,-0.244854839810264,0.176661997328553,-0.220546374097761,-0.122420372694331
"POP",-0.490624001454066,0.233789630069434,-0.0897024960589256,-0.0744296654947533,0.996739782167869,-0.352844779852745,1,0.141801655703237,0.142115136007247,0.146668058081186,-0.445209600381157,0.330516945359723,0.121548280727856,0.0598818290267259,0.965428535724677,0.975203552295388,0.95944736051326,0.973761355419054,0.973827257663024,0.974333920492122,0.774727868602168,-0.512063062661958,0.883449645075723,0.651518269896799,-0.493576778333528,0.684432483980995,-0.534258615085823,0.902006566913167,-0.00366908646643318,-0.482186225638853,0.128930481058267,0.87220775884862,-0.42093258535884,0.710410898902721,0.60116380564577,-0.427075943244048,0.0449292166493514,0.0629638129966743,-0.285190197161505,-0.458432538022645,0.247086954194675,0.859659539032179,-0.496380510380986,0.883565746599924,-0.351391239380359,-0.192103261551756,0.832112946953519,-0.306607811552267,-0.0651964532511912,-0.229343928057022,0.528320486917916,-0.450243728385703,-0.157525786429654,0.883314705940316,-0.105054112134294,-0.372970728802773,-0.140646315411743,-0.137097689553774,0.470393507884527,-0.370536895528381,-0.430330927437384,0.503998359545238,0.872693490917034,-0.304474052371425,0.689605088924925,-0.300208452843414,-0.374880207266353,0.594716114954612,0.497122323442741,-0.123618357415571,0.0473226849470086,-0.174624546769954,-0.239550539481717,0.270223400602044,-0.451335491395659,0.711960992040702,-0.332977924038311,0.27020603194216,0.883034305234249,-0.42959060810159,0.214117348779774,0.708168762052185,-0.153182350246773,0.0229500496860595,0.16802458414537,-0.430155271403033,-0.101085411482124,0.701635708783106,-0.0698297057700248,0.562646941156741,-0.347987120116599,0.656355318554896,0.54660293194068
"RGDPCH",-0.0921593548842125,-0.421788994447781,-0.332013203723419,-0.0213233688773432,0.159330129611042,0.382698088442116,0.141801655703237,0.999999999999999,0.999993891722054,0.99965809329672,-0.0786433589826577,0.874726653967745,0.688242451907687,0.876263501533433,0.214395746588244,0.199591398795565,0.213371505241292,0.217713908678175,0.21763422366333,0.216931212182526,0.219207862500558,0.165939112814992,0.144663572741917,0.264057486984233,0.0181731971172348,0.20901329229745,0.0486093482331112,0.144843612282601,0.0727712138603909,0.0216106468174179,0.346955460877106,0.162934483106792,0.235485674817776,0.153240964776886,0.31020748547607,-0.129859542783579,0.103255486114999,0.243050807190645,-0.14422395511187,0.103245656334445,0.171116160301589,0.170578811132573,0.0133476849524913,0.149245515206915,0.0425544191215605,0.360651211332755,0.187836918747007,-0.228869939759508,0.106394028406587,0.306891884774003,0.185127891916967,0.00107871489784111,0.307045702329161,0.162275798223447,-0.03730929034346,-0.14190857626578,0.0414366778870506,0.0780516158193217,0.0233477832149728,0.00602403919888155,0.207538943662096,0.148660328855537,0.154811199005942,0.208204938772299,0.145665888305846,-0.169718879926295,0.235520372071942,0.207587532613526,0.237750569492756,-0.0376621262416765,-0.0164167909147089,0.0759808942928788,0.0300401966649924,0.0702435785851707,0.0790722391750944,0.108393723042761,0.0139465819806329,0.36299378234031,0.196220942748898,0.138385680964914,0.219652666223677,0.138775232594413,0.0491484748557968,0.0970060474745628,0.0751918585661712,0.130342608298059,0.374573064543912,0.171496447253427,0.166790999202824,0.054363112263074,0.30399827878484,0.200112222348193,0.341788120927973
"RGDPL",-0.0923306070495057,-0.420614295158986,-0.331385023110855,-0.0231037772569699,0.159603620590152,0.381866724031382,0.142115136007247,0.999993891722054,1,0.999719230520121,-0.07883887228028,0.875167061984205,0.688532834586258,0.875417526549035,0.214707604337206,0.200001335839823,0.213486541542667,0.217994007669346,0.217915637254584,0.217221973924752,0.219270332261187,0.166151795697473,0.144844734177006,0.264047626375766,0.0180549233331036,0.208975350948242,0.0489041206181758,0.145114705938877,0.0727638657002042,0.0217122327490888,0.346786393246547,0.16309335455841,0.235634405680803,0.153327578884758,0.310170684048933,-0.130076749472067,0.102962506836083,0.243145892703636,-0.144431476904358,0.103420262178856,0.170745080542063,0.170763497710078,0.0136805572426431,0.14956744876728,0.0425358293225793,0.360635084496831,0.187871111487547,-0.229189038217985,0.105965871814099,0.306585808389796,0.185208779549951,0.00131082325117668,0.306790814715197,0.162522626773769,-0.0374007254215394,-0.141797488226624,0.0410428563716789,0.0781163832867632,0.0235928639937649,0.00607043542157734,0.207716945239929,0.148682233398632,0.155017242390466,0.207807963807387,0.145774884026807,-0.169874705900142,0.235462605458119,0.207460200385339,0.237735166076233,-0.0375797478651215,-0.0163732280212135,0.0757136217506753,0.0299648007754535,0.070364872667548,0.079407991984627,0.10854377441402,0.0138897379553799,0.362873103989879,0.196369221887777,0.138240063068106,0.21956532639829,0.138875371290883,0.0489049730425894,0.0969740275328873,0.0753417647099195,0.130514338598509,0.374366261887819,0.171575074365484,0.166718126855677,0.0544905384180865,0.304072073034283,0.200176511425293,0.341732751258847
"RGDPL2",-0.0951829451424697,-0.410755017981668,-0.328835496304222,-0.0362653850558403,0.163756291993752,0.372129835592114,0.146668058081186,0.99965809329672,0.999719230520121,1,-0.0819525387262369,0.879561540044124,0.688889536290864,0.867864756668035,0.219195143784303,0.205577321946981,0.215887116752712,0.222144707664893,0.222075982933276,0.221493482792058,0.220445182489909,0.166529955849058,0.147783421934359,0.263969857460566,0.0159223029948716,0.208412351071825,0.0501690311469406,0.149463756509701,0.0709836680639044,0.0210697420464949,0.344539147816086,0.165719971471733,0.235771784098316,0.154200113841794,0.30958933875804,-0.132212777812212,0.0982720286658771,0.243442751563945,-0.147524251590843,0.104153115584873,0.165391973420687,0.173722435298686,0.0154000117018133,0.154700031232504,0.0411151722676133,0.359494114537897,0.18889631922624,-0.232957962744938,0.0996268383573033,0.303390644783663,0.1856571529906,0.00201615641531119,0.303861248901354,0.16651369021678,-0.038065525759928,-0.139686387572781,0.0351771475407025,0.0771340633977767,0.0253018737323679,0.00536454466209923,0.208247210860931,0.147909105155512,0.158456366243656,0.203707835539701,0.147014622667284,-0.172183151131816,0.233825370257704,0.206146029508828,0.236626261594435,-0.0373249198673863,-0.0180744486801172,0.0705636588861111,0.0307053656792522,0.070517038476544,0.0810319543702824,0.110412339545201,0.0124425371913472,0.360802363372234,0.198968426229062,0.136038718649808,0.217362478762402,0.140141672189939,0.0454447588760559,0.0943372460322547,0.0753245554798194,0.129987597537584,0.372168026073711,0.172325133244338,0.164342301718545,0.0560349313641275,0.303695605615058,0.200500014759153,0.34073093422621
