"","V1","V2","V3","V4","V5","V6"
"sig_1",0.0245833394568914,-0.433807610433619,-0.211865164143774,0.617302626051695,0.16774312607963,0.222337060464188
"sig_2",0.168784570561663,-0.0884655393229687,-0.487136507675598,0.531649744401875,0.27711540430593,0.135176738879926
"sig_3",-0.0159633568336215,-0.508438087868112,-0.0127657579002525,0.614006438694872,0.133352686605385,0.197654747440985
"sig_4",0.0884817178708461,-0.563316899141275,-0.0210687242131002,0.625311637673731,0.114675582297066,0.172509425562414
"sig_5",-0.08296889601713,-0.421313395377688,-0.11267728147113,0.429459858556582,0.285071466297241,0.234221862963715
"sig_6",0.114450856758301,-0.532965808111614,-0.109984134011967,0.596956897585787,0.162163379027795,0.173570953167671
"sig_7",0.0788963592323665,-0.334350498292024,-0.188166109055706,0.637647390940744,0.203741831577698,0.172011471968757
"sig_8",0.246690113505244,-0.0719457282524254,-0.448847078523391,0.521168444903549,0.269411229252797,0.0870606988790354
"sig_9",0.0788242235911041,-0.559080412182906,0.0681457681875008,0.587831926368832,0.0939670811810818,0.177406751588841
"sig_10",0.0579422550163491,-0.55076999119045,0.0612512475074879,0.616093488911492,0.112029590449342,0.204312430632957
"sig_11",0.0974816811255819,-0.571903107154783,0.0469315834269719,0.602239554425562,0.104963983078442,0.163756269593956
"sig_12",0.0985343821298391,-0.528528010940301,0.0773183525989374,0.618043108974258,0.122916715555,0.15410520968067
"sig_13",0.0193418489779376,-0.487222716004021,-0.0078414835981266,0.597731421026225,0.151758321099393,0.180929298122577
"sig_14",0.146252842168426,-0.5869644220217,0.0373019987386072,0.582913133453659,0.102186572187235,0.11803228734806
"sig_15",-0.0213550446213661,-0.441025506939931,0.0560967156862208,0.545103119229115,-0.0222814588552714,0.17980191778659
"sig_16",0.0492653210184452,-0.548763577794856,0.0389036248670633,0.590472992405046,0.124447491885926,0.195991429973606
"sig_17",0.103305542911153,-0.581448046121182,0.0166923091170787,0.620589333827161,0.132575806202814,0.162824586583936
"sig_18",0.197469602226414,-0.587198394079493,-0.0385007004720253,0.541572998310065,0.124885022552623,0.106542235809356
"sig_19",0.0324920075048045,-0.530064747196457,0.0528062245680945,0.567913726600186,0.124941983472847,0.141172094653608
"sig_20",-0.120665425122275,-0.378287007429017,-0.0378924184208832,0.501744857246861,0.239020156117265,0.243564203737452
"sig_21",0.00616809835728323,-0.507631732268857,0.0671728248119112,0.512623541292755,0.22860392317278,0.19627048935983
"sig_22",0.0609509457535135,-0.450196871616093,-0.0284794371095306,0.675878128895434,0.137110401094802,0.19649608904479
"sig_23",0.159995657242678,-0.558093488361499,-0.0764592448895151,0.568213567010022,0.150558228089738,0.152357776441194
"sig_24",0.031116431318458,-0.506529459545004,-0.00453718475730101,0.661059465959067,0.156199676821205,0.169564402696455
"sig_25",-0.0622027739931972,-0.38331873431761,-0.0138898270446056,0.303618264059722,0.29665914607043,0.241303658026143
"sig_26",0.10523735435162,-0.462588150721742,-0.0976316865866361,0.614170314590024,0.190127248952747,0.168802013580516
"sig_27",-0.00408252491179231,-0.365736544202912,-0.162083512457894,0.536434683046422,0.173576675792841,0.165723580679402
"sig_28",0.172010600241694,-0.223311499361207,-0.127933847575163,0.617565752758951,0.187259773788773,0.130134588288532
"sig_29",0.285653214652243,-0.07239825312499,-0.425231589968062,0.496573127607286,0.244598713290324,0.0611701506736106
