"","crude_oil_price"
"SAU_1962",-0.958761445917736
"SAU_1963",-0.958761445917736
"SAU_1964",-0.958761445917736
"SAU_1965",-0.958761445917736
"SAU_1966",-0.958761445917736
"SAU_1967",-0.958761445917736
"SAU_1968",-0.958761445917736
"SAU_1969",-0.958761445917736
"SAU_1970",-0.958761445917736
"SAU_1971",-0.937405770089435
"SAU_1972",-0.927001722890595
"SAU_1973",-0.911340893950717
"SAU_1974",-0.535042934226563
"SAU_1975",-0.564174266382528
"SAU_1976",-0.506349667216669
"SAU_1977",-0.459367180394409
"SAU_1978",-0.454110398652058
"SAU_1979",0.303523269964252
"SAU_1980",0.594727075228846
"SAU_1981",0.531317145461739
"SAU_1982",0.404059220786711
"SAU_1983",0.263659341755805
"SAU_1984",0.258183527436476
"SAU_1985",0.198825700261993
"SAU_1986",-0.413589372721875
"SAU_1987",-0.228506848875731
"SAU_1988",-0.398366608925442
"SAU_1989",-0.257419148458661
"SAU_1990",-0.0308299521069575
"SAU_1991",-0.20616552647074
"SAU_1992",-0.209122466200813
"SAU_1993",-0.306153895862581
"SAU_1994",-0.337147004884753
"SAU_1995",-0.269904005096744
"SAU_1996",-0.106615222224972
"SAU_1997",-0.163892239960212
"SAU_1998",-0.448306035477774
"SAU_1999",-0.212736503648679
"SAU_2000",0.256869332000888
"SAU_2001",0.0819718227818631
"SAU_2002",0.104422661472715
"SAU_2003",0.288410022454993
"SAU_2004",0.701067389229532
"SAU_2005",1.42781746510953
"SAU_2006",1.9358635172461
"SAU_2007",2.25532252438897
"SAU_2008",3.46043973882289
"SAU_2009",1.82032383520944
"SAU_2010",2.6255970883658
