"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","crude_oil_price"
"sig_1",1,0.276369075669884,-0.469181307936316,-0.092589209237939,0.0780419626241617,0.386310959452646,0.612499063943573,0.234535984218712,-0.522408427166237
"sig_2",0.276369075669884,1,-0.80836477972176,-0.683205546255881,-0.246397824343631,-0.669652695181988,0.189439065400586,0.982134145263958,-0.507250726803277
"sig_3",-0.469181307936316,-0.80836477972176,1,0.633024644705304,0.21134410518649,0.363979969682897,-0.289255118645474,-0.832993600192428,0.492651011361281
"sig_4",-0.092589209237939,-0.683205546255881,0.633024644705304,1,0.0655219026882621,0.601682491766218,-0.45581796060634,-0.777212779580105,0.052936689686438
"sig_5",0.0780419626241617,-0.246397824343631,0.21134410518649,0.0655219026882621,1,0.0903185305963604,0.402042855753229,-0.2210177960464,0.0394229116029807
"sig_6",0.386310959452646,-0.669652695181988,0.363979969682897,0.601682491766218,0.0903185305963604,1,-0.0685640974799623,-0.680319746221599,0.0983788114018526
"sig_7",0.612499063943573,0.189439065400586,-0.289255118645474,-0.45581796060634,0.402042855753229,-0.0685640974799623,1,0.220750207570809,-0.238838276139844
"sig_8",0.234535984218712,0.982134145263958,-0.832993600192428,-0.777212779580105,-0.2210177960464,-0.680319746221599,0.220750207570809,1,-0.466025905104222
"crude_oil_price",-0.522408427166237,-0.507250726803277,0.492651011361281,0.052936689686438,0.0394229116029807,0.0983788114018526,-0.238838276139844,-0.466025905104222,1
