A1E959 ODAM GO:0042475
A1KZ92 PXDNL GO:0042744
A1KZ92 PXDNL GO:0055114
A1L0T0 ILVBL GO:0008150
A1L190 SYCE3 GO:0007130
A1L190 SYCE3 GO:0007131
A1L190 SYCE3 GO:0007283
A1L190 SYCE3 GO:0043065
A1L3X0 ELOVL7 GO:0019367
A1L3X0 ELOVL7 GO:0019432
A1L3X0 ELOVL7 GO:0034626
A1L3X0 ELOVL7 GO:0035338
A1L3X0 ELOVL7 GO:0035338
A1L3X0 ELOVL7 GO:0042761
A1L3X0 ELOVL7 GO:0042761
A1L3X0 ELOVL7 GO:0044255
A1L3X0 ELOVL7 GO:0044281
A1L4H1 SSC5D GO:0006898
A1L4H1 SSC5D GO:0007275
A1L4H1 SSC5D GO:0042494
A1L4H1 SSC5D GO:0045087
A1L4H1 SSC5D GO:2000483
A1X283 SH3PXD2B GO:0001501
A1X283 SH3PXD2B GO:0001654
A1X283 SH3PXD2B GO:0006801
A1X283 SH3PXD2B GO:0007507
A1X283 SH3PXD2B GO:0022617
A1X283 SH3PXD2B GO:0030154
A1X283 SH3PXD2B GO:0045600
A1X283 SH3PXD2B GO:0060348
A1X283 SH3PXD2B GO:0060612
A1X283 SH3PXD2B GO:0071800
A1X283 SH3PXD2B GO:0072657
A1Z1Q3 MACROD2 GO:0006974
A1Z1Q3 MACROD2 GO:0007420
A1Z1Q3 MACROD2 GO:0042278
A1Z1Q3 MACROD2 GO:0051725
A2A274 ACO2 GO:0008152
A2A288 ZC3H12D GO:0030308
A2A288 ZC3H12D GO:0030308
A2A288 ZC3H12D GO:2000134
A2A288 ZC3H12D GO:2000134
A2A299 TGM2 GO:0001974
A2A299 TGM2 GO:0018153
A2A299 TGM2 GO:0043065
A2A299 TGM2 GO:0043123
A2A299 TGM2 GO:0045785
A2A299 TGM2 GO:0048661
A2A299 TGM2 GO:0050729
A2A299 TGM2 GO:0051260
A2A299 TGM2 GO:0051482
A2A299 TGM2 GO:0060445
A2A299 TGM2 GO:0060662
A2A2A0 TGM2 GO:0001974
A2A2A0 TGM2 GO:0018153
A2A2A0 TGM2 GO:0043065
A2A2A0 TGM2 GO:0043123
A2A2A0 TGM2 GO:0045785
A2A2A0 TGM2 GO:0048661
A2A2A0 TGM2 GO:0050729
A2A2A0 TGM2 GO:0051260
A2A2A0 TGM2 GO:0051482
A2A2A0 TGM2 GO:0060445
