"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Integration_score"
"sig_1",1,0.932224175080119,0.958746219539516,0.974578338669969,0.981187036469479,0.99448495385115,0.992939311691291,0.936190818033547,0.926067827301447,0.893862120639547,0.927388030719991,0.901176076959996,0.940964422772349,0.957544692910329,0.954774890860772,0.963678580464639,0.969949795917024,0.984720969758349,0.93635898781377,0.965783217520471,0.972483287784717,0.986576616616977,0.978271631244547,0.990266050898238,0.972244869824566,0.995071824389094,0.977920754267882,0.984435681328665,0.938003414087079,0.238368565474502
"sig_2",0.932224175080119,1,0.819075804987987,0.840177341864834,0.913871138400692,0.894376430680638,0.95382887357091,0.998503099190328,0.768132283274026,0.72139840032566,0.761005272848619,0.732827391023725,0.789334419049224,0.807871244217322,0.835308808367149,0.827467193095131,0.831454549146031,0.87272229675986,0.784697531815897,0.864928907186038,0.854346171642169,0.885499258923123,0.855133559692387,0.88393535679489,0.881839220798997,0.921611876381491,0.924121976744714,0.961438145903527,0.995505843580471,0.278615840865378
"sig_3",0.958746219539516,0.819075804987987,1,0.990872709897964,0.947354479393728,0.98011955344084,0.921859027876214,0.821680625487788,0.99407826019372,0.981927480454777,0.988284161773658,0.98488414806126,0.997770516334412,0.993982428465624,0.976963197175396,0.993594888886061,0.994460059646204,0.974521008509212,0.997260110206297,0.960533869296697,0.984828525366833,0.954231010492331,0.994238012306305,0.978382877934804,0.95997839485751,0.946343344129024,0.927430125161173,0.900519306529561,0.823801269184419,0.177301380839247
"sig_4",0.974578338669969,0.840177341864834,0.990872709897964,1,0.954031869036319,0.991120949452524,0.94606438772347,0.844048258448534,0.976047354686564,0.96150758621807,0.985774288956299,0.964512303679394,0.983986687222462,0.997332518245501,0.968282551285607,0.990813378495015,0.999164284031479,0.988273537715921,0.980873065885409,0.964279564410995,0.983124284325362,0.981635020102784,0.995101476394605,0.989788305334967,0.961558703706262,0.969196539218492,0.940472421568672,0.926866090873404,0.846610242147581,0.220206855982917
"sig_5",0.981187036469479,0.913871138400692,0.947354479393728,0.954031869036319,1,0.978973189286473,0.975638354305009,0.920221555627534,0.915253086107874,0.878269047725835,0.907425750711485,0.886670678036935,0.930347116563256,0.939556497513389,0.972089480748021,0.96456909027527,0.954191529322948,0.971542685371134,0.927416014533945,0.988615358615476,0.980514698597362,0.96322469379257,0.96728196200682,0.979860307099311,0.996092221502364,0.978648017368829,0.996943367530683,0.970058542879784,0.923860714095197,0.201486106029494
"sig_6",0.99448495385115,0.894376430680638,0.98011955344084,0.991120949452524,0.978973189286473,1,0.978180697391885,0.899322803987076,0.955347923296162,0.928828615780074,0.957322893198506,0.934696073315993,0.967674775946569,0.980826985891126,0.97247848760079,0.984334345500783,0.989077971085784,0.994955659052135,0.96342002920146,0.974448983604786,0.987226398137031,0.98973849353042,0.993444138776739,0.998125926663294,0.978521359853992,0.990814775727547,0.971362667096919,0.965468723069151,0.902331436969313,0.229690387810875
"sig_7",0.992939311691291,0.95382887357091,0.921859027876214,0.94606438772347,0.975638354305009,0.978180697391885,1,0.959920062185645,0.879936021575638,0.840232352393494,0.881460128881481,0.848882368306321,0.898990347993657,0.921991885078091,0.928505394350999,0.933502346355104,0.938815182458054,0.970949955057623,0.892761005663827,0.94937777697191,0.949366845572168,0.979490487406952,0.949604793123665,0.975743727939978,0.95914618697548,0.99448978268412,0.980731121985579,0.998141836238976,0.962742746843597,0.260207030053052
"sig_8",0.936190818033547,0.998503099190328,0.821680625487788,0.844048258448534,0.920221555627534,0.899322803987076,0.959920062185645,1,0.770116127035266,0.721455899886599,0.76255885458834,0.73300462104283,0.792049002406282,0.811437430221747,0.84178548400797,0.832374705586469,0.835352266454385,0.880480867388383,0.786556759879344,0.87094892014442,0.86012506263141,0.89254954053759,0.859031564349814,0.890314034286348,0.888516008799251,0.929049851708641,0.932082486072325,0.968846621985609,0.999164237153701,0.283489421651237
"sig_9",0.926067827301447,0.768132283274026,0.99407826019372,0.976047354686564,0.915253086107874,0.955347923296162,0.879936021575638,0.770116127035266,1,0.991559762379231,0.989051786448254,0.992221635214089,0.998483443445908,0.986009754753141,0.964607399936688,0.981900983380982,0.981995482013226,0.950600210045522,0.997489960819591,0.936103886585514,0.96659351882525,0.922930937573189,0.979383004386792,0.953459567420973,0.933846531405833,0.910541005645275,0.890131108652033,0.855054094422774,0.77231181532663,0.150872182634174
"sig_10",0.893862120639547,0.72139840032566,0.981927480454777,0.96150758621807,0.878269047725835,0.928828615780074,0.840232352393494,0.721455899886599,0.991559762379231,1,0.988494418926443,0.999525651766749,0.987931940658566,0.976405610815604,0.935939121785307,0.96626275505409,0.968352122307853,0.924705028164161,0.991846644604142,0.908920093769869,0.943628044912614,0.897561744656904,0.959184015728874,0.927388615028263,0.901187443980116,0.875632716946495,0.849470578209501,0.811130280618148,0.722240712886015,0.146375591601729
