ID,Globalisation_score
AFG_1970,15.66
AFG_1971,16.469999999999999
AFG_1974,16.620000000000001
AFG_1975,17.43
AFG_1977,17.530000000000001
AFG_2009,28.670000000000002
AFG_2010,29.690000000000001
ALB_2009,58.409999999999997
ARG_1970,42.789999999999999
ARG_1971,42.939999999999998
ARG_1972,43.32
ARG_1973,43.329999999999998
ARG_1974,42.920000000000002
ARG_1975,43.189999999999998
ARG_1976,43.350000000000001
ARG_1977,43.880000000000003
ARG_1978,44.340000000000003
ARG_1979,44.619999999999997
ARG_1980,44.590000000000003
ARG_1981,45.490000000000002
ARG_1982,44.969999999999999
ARG_1983,45.859999999999999
ARG_1984,46.359999999999999
ARG_1985,46.469999999999999
ARG_1986,49.119999999999997
ARG_1987,48.579999999999998
ARG_1988,48.0
ARG_1989,49.469999999999999
ARG_1990,47.859999999999999
ARG_1991,50.009999999999998
ARG_1992,51.990000000000002
ARG_1993,55.869999999999997
ARG_1994,57.880000000000003
ARG_1995,60.530000000000001
ARG_1996,61.270000000000003
ARG_1997,62.299999999999997
ARG_1998,63.640000000000001
ARG_1999,64.060000000000002
ARG_2000,64.379999999999995
ARG_2001,62.32
ARG_2002,63.409999999999997
ARG_2003,62.130000000000003
ARG_2004,62.490000000000002
ARG_2005,60.700000000000003
ARG_2006,60.82
ARG_2007,60.670000000000002
ARG_2008,60.130000000000003
ARG_2009,59.390000000000001
ARG_2010,59.299999999999997
AUS_1970,54.770000000000003
AUS_1971,58.82
AUS_1972,59.329999999999998
AUS_1973,60.5
AUS_1974,60.859999999999999
AUS_1975,66.5
AUS_1976,67.569999999999993
AUS_1977,67.950000000000003
AUS_1978,68.370000000000005
AUS_1979,68.540000000000006
AUS_1980,68.549999999999997
AUS_1981,68.849999999999994
AUS_1982,68.780000000000001
AUS_1983,69.540000000000006
AUS_1984,69.790000000000006
AUS_1985,70.469999999999999
AUS_1986,71.209999999999994
AUS_1987,71.989999999999995
AUS_1988,73.5
AUS_1989,73.790000000000006
AUS_1990,74.540000000000006
AUS_1991,74.75
AUS_1992,76.439999999999998
AUS_1993,77.290000000000006
AUS_1994,78.840000000000003
AUS_1995,78.989999999999995
AUS_1996,78.439999999999998
AUS_1997,79.010000000000005
AUS_1998,79.950000000000003
AUS_1999,80.439999999999998
AUS_2000,81.730000000000004
AUS_2001,82.140000000000001
AUS_2002,81.359999999999999
AUS_2003,81.900000000000006
AUS_2004,81.700000000000003
AUS_2005,81.840000000000003
AUS_2006,82.75
AUS_2007,83.230000000000004
AUS_2008,81.349999999999994
AUS_2009,82.790000000000006
AUS_2010,82.959999999999994
AUT_1970,57.060000000000002
AUT_1971,57.270000000000003
AUT_1972,57.520000000000003
AUT_1973,58.689999999999998
AUT_1974,59.759999999999998
AUT_1975,59.859999999999999
AUT_1976,60.310000000000002
AUT_1977,70.060000000000002
AUT_1978,70.569999999999993
AUT_1979,71.390000000000001
AUT_1980,72.659999999999997
AUT_1981,73.609999999999999
AUT_1982,73.769999999999996
AUT_1983,73.450000000000003
AUT_1984,74.739999999999995
AUT_1985,75.769999999999996
AUT_1986,76.719999999999999
AUT_1987,76.859999999999999
AUT_1988,76.950000000000003
AUT_1989,77.420000000000002
AUT_1990,78.049999999999997
AUT_1991,81.489999999999995
AUT_1992,81.75
AUT_1993,82.489999999999995
AUT_1994,83.780000000000001
AUT_1995,85.090000000000003
AUT_1996,86.390000000000001
AUT_1997,87.890000000000001
AUT_1998,88.769999999999996
AUT_1999,89.969999999999999
AUT_2000,91.510000000000005
AUT_2001,91.359999999999999
AUT_2002,90.569999999999993
AUT_2003,90.950000000000003
AUT_2004,91.010000000000005
AUT_2005,91.170000000000002
AUT_2006,90.989999999999995
AUT_2007,92.0
AUT_2008,91.340000000000003
AUT_2009,90.980000000000004
AUT_2010,90.569999999999993
AZE_2006,55.390000000000001
AZE_2007,57.0
AZE_2008,55.960000000000001
AZE_2009,55.200000000000003
AZE_2010,55.93
BEL_1970,68.400000000000006
BEL_1971,68.409999999999997
BEL_1972,68.540000000000006
BEL_1973,69.010000000000005
BEL_1974,69.299999999999997
BEL_1975,68.989999999999995
BEL_1976,69.379999999999995
BEL_1977,69.680000000000007
BEL_1978,73.140000000000001
BEL_1979,73.560000000000002
BEL_1980,73.629999999999995
BEL_1981,74.459999999999994
BEL_1982,75.0
BEL_1983,75.579999999999998
BEL_1984,80.980000000000004
BEL_1985,81.640000000000001
BEL_1986,81.629999999999995
BEL_1987,81.530000000000001
BEL_1988,81.489999999999995
BEL_1989,81.760000000000005
BEL_1990,81.629999999999995
BEL_1991,83.810000000000002
BEL_1992,85.879999999999995
BEL_1993,87.319999999999993
BEL_1994,88.359999999999999
BEL_1995,88.879999999999995
BEL_1996,89.760000000000005
BEL_1997,90.780000000000001
BEL_1998,90.359999999999999
BEL_1999,90.790000000000006
BEL_2000,92.040000000000006
BEL_2001,91.560000000000002
BEL_2002,91.599999999999994
BEL_2003,91.560000000000002
BEL_2004,91.849999999999994
BEL_2005,91.640000000000001
BEL_2006,91.900000000000006
BEL_2007,92.5
BEL_2008,92.340000000000003
BEL_2009,92.120000000000005
BEL_2010,92.0
BEN_2007,43.140000000000001
BEN_2008,42.149999999999999
BEN_2009,42.770000000000003
BEN_2010,42.68
BGR_1970,36.350000000000001
BGR_1971,36.700000000000003
BGR_1972,36.659999999999997
BGR_1973,37.659999999999997
BGR_1974,37.909999999999997
BGR_1975,38.649999999999999
BGR_1976,38.93
BGR_1977,39.280000000000001
BGR_1978,40.390000000000001
BGR_1979,40.960000000000001
BGR_1980,41.450000000000003
BGR_1981,41.630000000000003
BGR_1982,41.530000000000001
BGR_1983,41.740000000000002
BGR_1984,41.539999999999999
BGR_1985,42.039999999999999
BGR_1986,41.969999999999999
BGR_1987,41.299999999999997
BGR_1988,40.100000000000001
BGR_1989,39.310000000000002
BGR_1990,39.009999999999998
BGR_1991,38.670000000000002
BGR_1992,45.469999999999999
BGR_1993,46.490000000000002
BGR_1994,47.659999999999997
BGR_1995,54.590000000000003
BGR_1996,58.560000000000002
BGR_1997,58.659999999999997
BGR_1998,59.18
BGR_1999,61.890000000000001
BGR_2000,64.609999999999999
BGR_2001,65.099999999999994
BGR_2002,64.540000000000006
BGR_2003,66.670000000000002
BGR_2004,69.140000000000001
BGR_2005,67.260000000000005
BGR_2006,71.140000000000001
BGR_2007,74.439999999999998
BGR_2008,73.680000000000007
BGR_2009,71.900000000000006
BGR_2010,71.620000000000005
BMU_1970,34.689999999999998
BMU_1971,34.689999999999998
BMU_1974,34.689999999999998
BMU_1975,34.689999999999998
BMU_1976,34.689999999999998
BMU_1977,34.689999999999998
BMU_1978,34.689999999999998
BMU_1979,34.689999999999998
BMU_1988,34.689999999999998
BMU_1989,34.630000000000003
BMU_1999,36.590000000000003
BMU_2000,36.75
BMU_2001,36.840000000000003
BMU_2002,36.939999999999998
BMU_2003,36.979999999999997
BRA_1970,38.359999999999999
BRA_1971,38.399999999999999
BRA_1972,38.509999999999998
BRA_1973,38.780000000000001
BRA_1974,38.969999999999999
BRA_1975,39.060000000000002
BRA_1976,39.259999999999998
BRA_1977,39.450000000000003
BRA_1978,39.640000000000001
BRA_1979,43.460000000000001
BRA_1980,43.82
BRA_1981,43.899999999999999
BRA_1982,44.189999999999998
BRA_1983,45.049999999999997
BRA_1984,45.240000000000002
BRA_1985,44.979999999999997
BRA_1986,44.390000000000001
BRA_1987,43.310000000000002
BRA_1988,42.310000000000002
BRA_1989,44.890000000000001
BRA_1990,45.009999999999998
BRA_1991,48.640000000000001
BRA_1992,50.310000000000002
BRA_1993,51.799999999999997
BRA_1994,52.25
BRA_1995,53.409999999999997
BRA_1996,54.82
BRA_1997,55.659999999999997
BRA_1998,55.689999999999998
