"","V1","V2","V3","V4","V5","V6"
"cpd:C00001",-4.21401405822836,0.843691484381446,-0.0485249964535823,0.767176122319315,-0.0493382654296732,-0.110943908125206
"cpd:C00002",-4.21401405822836,0.843691484381446,-0.0485249964535823,0.767176122319315,-0.0493382654296732,-0.110943908125206
"cpd:C00003",-2.70436693993102,2.09502188717791,-0.361215172719664,-1.77411457324268,1.16710564054032,0.364084429759729
"cpd:C00004",-0.32669596598492,-0.385503144512423,0.911420119882309,-1.02302317642647,0.546303423604593,0.788035283415768
"cpd:C00005",-0.32669596598492,-0.385503144512423,0.911420119882309,-1.02302317642647,0.546303423604593,0.788035283415768
"cpd:C00006",-0.32669596598492,-0.385503144512423,0.911420119882309,-1.02302317642647,0.546303423604593,0.788035283415768
"cpd:C00007",0.668434986475598,0.751581610961787,1.05537162593962,-0.82010911442542,-0.496417063731094,-0.251808737269259
"cpd:C00008",-4.21401405822836,0.843691484381446,-0.0485249964535823,0.767176122319315,-0.0493382654296732,-0.110943908125206
"cpd:C00009",-4.21401405822836,0.843691484381446,-0.0485249964535823,0.767176122319315,-0.0493382654296732,-0.110943908125206
"cpd:C00010",-3.70514331131077,0.883535899123088,-0.791491722383654,-1.70420148009023,-0.220851019726864,-0.175555453879342
"cpd:C00011",-1.83634308428225,-1.63683354730889,1.22411029614839,1.51826751913553,-0.670140482365404,0.313006945530833
"cpd:C00012",-0.371643264891199,-1.29136597188547,-1.11581726885363,0.0113723357091566,-0.651758923022128,0.177566548532769
"cpd:C00013",-4.21401405822836,0.843691484381446,-0.0485249964535823,0.767176122319315,-0.0493382654296732,-0.110943908125206
"cpd:C00014",-4.21401405822836,0.843691484381446,-0.0485249964535823,0.767176122319315,-0.0493382654296732,-0.110943908125206
"cpd:C00015",-1.32747233736466,-1.59698913256724,0.48114357021832,-0.953110083274018,-0.841653236662595,0.248395399776696
"cpd:C00016",-0.32669596598492,-0.385503144512423,0.911420119882309,-1.02302317642647,0.546303423604593,0.788035283415768
"cpd:C00018",-1.32747233736466,-1.59698913256724,0.48114357021832,-0.953110083274018,-0.841653236662595,0.248395399776696
"cpd:C00019",-0.88051401180879,-1.33121038662711,-0.372850542923561,2.4827499381187,-0.480246168724937,0.242178094286906
"cpd:C00020",-4.21401405822836,0.843691484381446,-0.0485249964535823,0.767176122319315,-0.0493382654296732,-0.110943908125206
"cpd:C00021",-0.88051401180879,-1.33121038662711,-0.372850542923561,2.4827499381187,-0.480246168724937,0.242178094286906
"cpd:C00022",-3.21323768684861,2.05517747243627,0.381751553210408,0.697263029166861,1.33861839483751,0.428695975513866
"cpd:C00024",-3.21323768684861,2.05517747243627,0.381751553210408,0.697263029166861,1.33861839483751,0.428695975513866
"cpd:C00025",-4.21401405822836,0.843691484381446,-0.0485249964535823,0.767176122319315,-0.0493382654296732,-0.110943908125206
"cpd:C00026",-1.83634308428225,-1.63683354730889,1.22411029614839,1.51826751913553,-0.670140482365404,0.313006945530833
"cpd:C00027",0.668434986475598,0.751581610961787,1.05537162593962,-0.82010911442542,-0.496417063731094,-0.251808737269259
"cpd:C00028",-0.332341384904145,-0.459904377093034,0.625095076275632,-0.750196021272965,-1.88437372399828,-0.79144862090833
"cpd:C00029",-0.463264275372283,-1.43184382359869,1.26137752126408,-1.36490710542736,3.52749188142708,-3.60344754750111
"cpd:C00030",-0.332341384904145,-0.459904377093034,0.625095076275632,-0.750196021272965,-1.88437372399828,-0.79144862090833
"cpd:C00031",-1.32747233736466,-1.59698913256724,0.48114357021832,-0.953110083274018,-0.841653236662595,0.248395399776696
