"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Overview","Carbohydrate.metabolism","Energy.metabolism","Lipid.metabolism","Nucleotide.metabolism","Amino.acid.metabolism","Metabolism.of.other.amino.acids","Glycan.biosynthesis.and.metabolism","Metabolism.of.cofactors.and.vitamins","Metabolism.of.terpenoids.and.polyketides","Biosynthesis.of.other.secondary.metabolites","Xenobiotics.biodegradation.and.metabolism"
"sig_1",1,-0.183325905535753,0.0717881481694194,0.169504742498031,0.139744517324,0.0381270852373774,0.0220335371328298,-0.216151321466919,-0.0106868545869394,-0.0453575907606282,-0.0263942704806433,-0.0511721186993681,-0.0373347705440534,-0.0770642072380658,-0.0120618519250025,-0.00646592458693667,-0.0998480472012847,-0.0863315166535431,-0.0660638048178683,0.00906142740147978,0.00307519200519931,-0.0297438337260715,-0.118018564645671,-0.0944886923804541,-0.014680731412018,-0.112442134801416,-0.0277459942142662,-0.138877668077277,-0.169942478884824,0.0621565403996822,-0.012004944918431,0.0095885329755983,-0.0123198121240017,-0.0615621979016726,0.0119363131211343,0.0262033061848894,-0.030926601952298,-0.0361368015890813,-0.06016139190262,-0.0354375057621051,-0.017121168225128
"sig_2",-0.183325905535753,0.999999999999995,-0.128702322150281,-0.153184311873203,-0.0921214198742974,-0.0677450928682575,0.0533728088903136,0.381304491001202,-0.120570010538948,-0.13619216793845,-0.124023134469309,-0.133654589421607,-0.129050568751626,-0.140853664966732,-0.0468937388396595,-0.118815848210202,-0.17358414640469,-0.115131302578465,-0.124100464763749,-0.0514526540170065,-0.0984783388100473,-0.0986955924008092,-0.0950011311807903,-0.131886108525579,-0.0699353260394923,-0.100499281312734,-0.0387268648230961,-0.0280192939900342,0.0569973058661337,0.0247116083969689,-0.025064229883312,-0.0620087938725078,-0.0351184139605893,-0.0380003938980831,-0.0257903591163523,-0.014961884803349,0.0962804949962196,-0.0698386138850151,0.0429447226174552,0.0112528223682288,-0.0392369103370456
"sig_3",0.0717881481694194,-0.128702322150281,1,0.0923800756295779,0.150423436233399,0.291731510340547,-0.0122856298182588,-0.128807661739473,0.583921928144563,0.43762085582865,0.0345628153227998,0.368748558328431,0.707414781440895,0.0706621418893066,0.249772291265532,0.422075203483919,0.107605105006874,0.0584772838980953,0.417703809552444,0.061049301166249,0.328096275800283,-0.0236037307587938,0.0635065237018408,0.189645161379439,0.115670365737576,0.00650191807014143,-0.0169663639257983,-0.0701265466157818,-0.0917321813634512,0.0370899274679454,0.124671523966073,-0.0231414021543464,0.0168516343024965,0.0273826800701513,0.0866780362610208,0.116756562549919,-0.0522205888954807,0.0288088484924028,0.0484339343924983,0.039950803309893,0.0809205082524279
"sig_4",0.169504742498031,-0.153184311873203,0.0923800756295779,0.999999999999994,0.116494184086728,0.143584706117331,0.126372970257532,-0.123397716249318,0.112818338506925,0.214790562270083,0.521750716277655,0.101348870867181,0.0540667735889321,0.359906754573359,-0.00626271939753331,0.213116506863307,0.328625364760916,0.0710703760451108,0.0563488797765695,0.219088332986544,0.0557264802964142,0.446685098926436,0.0673443974132022,0.058961193488614,0.0578704829813169,0.0462786513700249,0.0326599300666053,-0.0218981947662193,-0.0762968318772289,0.106248695347453,0.0632029007491268,0.0877410302619835,0.0671149157240078,0.048046700914485,0.0294931961775712,0.10147150118986,-0.0626310350629089,0.0676534306083208,-0.0217288849459396,0.0210051799706692,0.0877211229752
"sig_5",0.139744517324,-0.0921214198742974,0.150423436233399,0.116494184086728,1,0.0338070157023904,0.121967745465182,-0.0771365771596305,0.118507323773731,0.10749874092014,0.0709326403827867,0.0400637593759893,0.0393330680923629,-0.0220621003444707,0.00993187523049625,0.381658422263488,0.0191548006069619,-0.0177770169091768,0.0498004762926619,0.467165329564253,0.299123891917249,0.0856513357876185,-0.0372689422111548,0.00681413174226954,0.383793327460602,-0.00662830583420458,0.307548403876985,0.033340613728179,-0.0639309219259184,0.0299327711489757,0.00135164723726185,-0.0286015679514459,0.0119435552680241,-0.00563086234398923,-0.0066682904328174,-0.0327478547484463,-0.0433772837242143,0.0341115833271742,0.0124065929574116,-0.000564115713114384,-0.00786328393256336
"sig_6",0.0381270852373774,-0.0677450928682575,0.291731510340547,0.143584706117331,0.0338070157023904,1.00000000000001,0.169520721978763,0.0522350200796988,0.11377438570837,0.118762449791452,0.0900602934657685,0.29366989660532,0.295200703915478,0.320909791288606,0.0739149689890709,0.118506714113425,0.369408354649185,0.516780962721221,0.268717193408334,-0.017313844121144,0.195954850825025,0.0789598639564972,0.647199023585564,0.330303319944069,0.168655161877315,0.442781208774067,0.0109126095351132,0.0390697700645799,0.00580312840511031,0.052384250046524,0.114447504270205,0.00604518038496973,0.0455361399699285,0.129624690909319,0.0752243861893132,0.0432163469159441,-0.0816619257623362,0.00712614051435217,0.000272995640966082,0.00668016829636919,0.02756856072735
"sig_7",0.0220335371328298,0.0533728088903136,-0.0122856298182588,0.126372970257532,0.121967745465182,0.169520721978763,0.999999999999992,0.209430651054241,-0.0259541319679675,-0.031016193522959,0.0413694772263211,0.00700444398662529,-0.0112138313943822,0.0150050316293951,-0.00576386493779706,0.0210234611381161,0.183849706840603,0.0842021251558316,0.16330263823198,0.0447742489600706,0.00659970680461895,0.43254822140835,0.0838470192657822,0.230965978592881,0.160783585929141,0.409036962413227,0.500437678309609,0.588623968363646,0.169287363438339,-0.027820845186349,0.0431659597179191,-0.0051898381547976,0.0700161050105106,0.0509174740660413,-0.012884397508689,0.00536310476243247,-0.0805005688753897,-0.0163758695815008,-0.0164880679273417,-0.0254943356375756,0.0100792822341124
"sig_8",-0.216151321466919,0.381304491001202,-0.128807661739473,-0.123397716249318,-0.0771365771596305,0.0522350200796988,0.209430651054241,1.00000000000001,-0.10851410446132,-0.109208051374386,-0.098495028440268,-0.0914925330142011,-0.0736346827298003,-0.0632627273425236,-0.0402118058377057,-0.100388030474662,-0.0530523164625106,0.00286149165781779,-0.0545061427394731,-0.0510257381613365,-0.0734760231866353,0.02042517682971,0.167077293969226,-0.0066103867302979,-0.0279281496018404,0.17120133985076,0.044075993446776,0.439099584391977,0.731728567706172,-0.00955820181737446,-0.0312644194449559,-0.0641447846051804,0.0217426639380882,0.0202248147174458,0.0363485386587465,-0.0192936738562013,-0.0176058198077461,-0.0282809430743068,0.0800003681924876,-0.0205017908026688,-0.0277367663894491
"sig_9",-0.0106868545869394,-0.120570010538948,0.583921928144563,0.112818338506925,0.118507323773731,0.11377438570837,-0.0259541319679675,-0.10851410446132,0.999999999999993,0.59333976263026,0.0773796654231143,0.402354030592633,0.486239002092162,0.116794678990144,0.310706495199466,0.423205849096208,0.120044826951492,0.0997664209448028,0.368051795500395,0.0538890361176877,0.193280582193288,0.0239806788783445,0.0552215321602055,0.156416589742388,0.143537908318423,0.0087399766326166,-0.0244791700865588,-0.0543748100986501,-0.0668688402226919,0.0972160738271,0.115818236102358,-0.0206907686750022,0.0112879857812627,0.0839616390277143,0.0977871217959969,0.233103277550208,-0.0525235280490715,0.0928159348856376,0.163087256353461,0.0440081143304022,0.192817027126624
"sig_10",-0.0453575907606282,-0.13619216793845,0.43762085582865,0.214790562270083,0.10749874092014,0.118762449791452,-0.031016193522959,-0.109208051374386,0.59333976263026,0.99999999999999,0.317928489300288,0.470862632318824,0.479253453506531,0.325667772664825,0.046647532042847,0.443841004754212,0.289342651292579,0.105176990054435,0.334170937481571,0.123381100556067,0.188295664556472,0.0640662348440007,0.106498832838182,0.170952810507941,0.135549598594888,0.0313446449399115,-0.0128978430879448,-0.0359452130030367,-0.0625309592456484,0.0720666023079728,0.258890248673435,-0.0335157873030811,0.0606586483977184,0.166261701937064,0.154769939111844,0.142874590220499,-0.0505489235304481,0.204090265957225,0.0483095812908324,0.190117959380105,0.228168467338687
