ID,death,protein metabolism,cell cycle and proliferation,other metabolic processes,signal transduction,stress response,developmental processes,cell adhesion,DNA metabolism,cell-cell signaling,other biological processes,cell organization and biogenesis,RNA metabolism,transport
Q02297,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B7Z499,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Q99519,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q99518,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q96RU7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q96RU5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Q96RU3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q96RU2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H0YND5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
H0YND3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q96RU8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
E5RJG1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E5RJG0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
E5RJG4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
E5RJG6,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M0R1P0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
M0R1P1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
M0R1P6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q13643,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Q13642,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q13641,0,0,0,0,0,0,0,1,0,0,0,0,0,0
M0R1P9,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q9Y5A9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q9NS40,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C9J588,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Q02127,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C9J586,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A6NH01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F8VZI3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F8VZI0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F8VZI4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
J3QKQ8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q96CN9,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q6ZRV2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Q92917,0,0,0,0,0,0,0,0,0,0,1,0,0,0
H7BZL1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H7BZL3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
H7BZL2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P10645,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P10644,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P48556,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P10646,0,0,0,1,0,0,0,0,0,0,0,0,0,0
B7Z2C3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P48552,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B7Z2C1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P36894,0,0,0,0,0,0,1,0,0,0,0,0,0,0
H0YD21,0,0,0,0,0,0,0,0,0,0,0,1,0,0
H0YD20,0,0,0,0,0,0,0,0,0,0,0,0,0,1
H0YD25,0,0,0,0,0,0,0,0,0,0,0,1,0,0
M0R2Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
M0R2Q6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M0R2Q4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q5T6X5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q03989,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A8MZ54,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q9BR01,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P16520,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q9Y291,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Q9Y296,0,0,0,0,0,0,0,0,0,0,0,1,0,0
J3QKQ6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q9Y294,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q9Y295,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Q9BR09,0,0,0,0,0,0,0,0,0,0,0,1,0,0
H3BPE6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
H3BPE1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
H3BPE2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Q6ICB4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B5MC44,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C9JA68,0,0,0,0,0,0,0,0,0,0,1,0,0,0
B8ZZE7,0,0,0,0,0,0,0,1,0,0,0,0,0,0
B7ZAX5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
B8ZZE5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B8ZZE2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
V9GZ08,0,0,0,0,0,0,0,0,0,0,0,0,1,0
V9GZ03,1,0,0,0,0,0,0,0,0,0,0,0,0,0
V9GZ00,0,0,0,0,0,0,0,0,0,0,0,1,0,0
B7Z1C2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
B7Z1C4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P35070,0,0,0,0,0,0,0,0,0,0,1,0,0,0
B7Z1C9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
B4DNN9,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A6PVF6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B1ANG9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q5T7V0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
J3KPV8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C9JB90,0,0,0,0,1,0,0,0,0,0,0,0,0,0
B0QYF7,0,0,0,0,0,0,0,0,0,0,1,0,0,0
B0QYF0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Q9P2U8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B0QYF8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
F8W719,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O75420,0,0,0,0,1,0,0,0,0,0,0,0,0,0
O75425,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Q99618,0,1,0,0,0,0,0,0,0,0,0,0,0,0
O75427,0,0,0,0,0,0,1,0,0,0,0,0,0,0
O75426,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Q5VU57,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Q8NBH2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Q99614,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P05387,0,1,0,0,0,0,0,0,0,0,0,0,0,0
O00506,0,0,0,0,0,0,0,0,0,0,1,0,0,0
O00507,0,0,0,0,1,0,0,0,0,0,0,0,0,0
O00505,0,0,0,0,0,0,0,0,0,0,1,0,0,0
O00501,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P20132,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Q99613,0,1,0,0,0,0,0,0,0,0,0,0,0,0
E5RH08,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P02760,0,0,0,0,0,0,0,0,0,0,1,0,0,0
E5RH02,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Q01581,0,0,0,0,0,0,0,0,0,0,1,0,0,0
E5RH01,0,1,0,0,0,0,0,0,0,0,0,0,0,0
E5RH06,0,0,0,0,0,0,0,0,0,0,0,0,0,1
