ID,Integration_score
USA,-4
CAN,-4
CHN,-4
MEX,-4
JPN,-4
KOR,-4
DEU,6
FRA,6
NLD,6
ITA,6
BEL,6
AUT,6
GBR,4
CHE,0
POL,4
AUS,-4
ESP,6
SGP,-4
MYS,-4
CZE,4
RUS,0
IND,-4
BRA,-2
THA,-4
IRL,6
SAU,-4
VEN,-6
IDN,-4
SWE,4
HUN,4
ARE,-4
PRT,6
UKR,-4
NGA,-6
TUR,-2
NOR,0
ISR,-2
ARG,-2
DNK,4
VNM,-4
IRN,-6
PHL,-4
BLR,0
CHL,-4
COL,-2
ZAF,-2
AGO,-6
SVK,6
QAT,-4
KAZ,0
LBY,-4
ROM,4
FIN,6
DZA,-4
PAN,-4
IRQ,-4
CRI,-4
ECU,-2
NZL,-4
KWT,-4
PER,-2
LUX,6
LTU,4
OMN,-4
GRC,6
DOM,-4
SVN,6
EGY,-4
TUN,-4
MAR,-4
TTO,4
SDN,-4
HND,-4
GTM,-4
AZE,-6
BGD,-4
PAK,-4
LVA,-4
BGR,4
MMR,-4
SLV,-4
HRV,0
LBR,-6
BWA,-2
KGZ,-4
BRN,-4
BHS,-6
YEM,-6
MNG,-6
JOR,-4
COG,2
PRK,-6
NPL,-4
EST,6
ATG,6
UZB,-6
PRY,-2
URY,-2
SYR,-4
LKA,-4
NIC,-4
COD,2
SRB,-4
LAO,-4
ZMB,-4
LCA,6
GNQ,2
KHM,-4
GAB,2
PNG,-6
MOZ,-4
MLT,6
BEN,2
ZWE,-4
CYP,6
AFG,-4
TCD,2
GHA,-6
