ID,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29,sig_30,sig_31,sig_32,sig_33,sig_34,sig_35,sig_36,sig_37,sig_38,sig_39,sig_40,sig_41,sig_42,sig_43,sig_44,sig_45,sig_46,sig_47,sig_48,sig_49,sig_50,sig_51,sig_52,sig_53,sig_54,sig_55,sig_56,sig_57,sig_58,sig_59,sig_60,sig_61,sig_62,sig_63,sig_64,sig_65,sig_66,sig_67,sig_68,sig_69,sig_70,sig_71,sig_72
COL_1990,3.0,162.0,0.0,3.0,145.0,0.0,3520.0,0.0,0.0,840.0,78.0,0.0,123.0,0.0,1.0,62.0,0.0,0.0,392.0,3882.0,0.0,0.0,47702.0,0.0,3324.0,416.0,0.0,28.0,0.0,14.0,0.0,19549.0,574.0,0.0,0.0,38.0,0.0,0.0,0.0,8133.0,3078.0,0.0,0.0,4.0,0.0,180.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1694.0,0.0,2642.0,30.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,770.0,9.0,0.0,0.0,0.0,38.0,0.0,0.0
IRN_1990,10.0,283.0,2.0,43.0,611.0,24.0,3966.0,0.0,8.0,814.0,1015.0,1.0,746.0,14.0,105.0,470.0,75.0,31.0,6073.0,5578.0,82.0,0.0,37987.0,0.0,7607.0,2158.0,14.0,349.0,20.0,488.0,0.0,13618.0,9860.0,0.0,3.0,114.0,111.0,63.0,0.0,5008.0,13543.0,320.0,0.0,902.0,0.0,358.0,1404.0,3.0,41.0,6.0,0.0,37.0,21.0,4.0,6067.0,0.0,1235.0,1859.0,0.0,1821.0,127.0,0.0,7.0,2.0,5.0,2266.0,1783.0,7.0,51.0,0.0,1317.0,42.0,161.0
ZAF_1990,8.0,307.0,0.0,28.0,306.0,0.0,5526.0,0.0,0.0,884.0,671.0,0.0,739.0,0.0,56.0,276.0,0.0,0.0,496.0,6277.0,0.0,0.0,66356.0,0.0,2457.0,1808.0,0.0,128.0,0.0,193.0,0.0,20825.0,6683.0,0.0,0.0,131.0,0.0,0.0,0.0,5173.0,16175.0,0.0,0.0,183.0,0.0,263.0,428.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,7912.0,0.0,1277.0,1254.0,0.0,1073.0,0.0,0.0,0.0,0.0,0.0,2466.0,759.0,0.0,0.0,0.0,1225.0,0.0,70.0
DZA_1990,7.0,270.0,0.0,21.0,397.0,0.0,4747.0,0.0,0.0,956.0,510.0,0.0,555.0,0.0,35.0,256.0,0.0,0.0,1429.0,6269.0,0.0,0.0,57667.0,0.0,4992.0,1299.0,0.0,167.0,0.0,164.0,0.0,19159.0,5329.0,0.0,0.0,123.0,0.0,0.0,0.0,6868.0,12115.0,0.0,0.0,150.0,0.0,446.0,535.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,5519.0,0.0,1821.0,759.0,0.0,1110.0,0.0,0.0,0.0,0.0,0.0,2238.0,516.0,0.0,0.0,0.0,753.0,0.0,35.0
HUN_1990,7.0,177.0,3.0,18.0,573.0,131.0,2590.0,0.0,10.0,859.0,435.0,1.0,238.0,13.0,21.0,1097.0,158.0,38.0,5590.0,3462.0,2085.0,0.0,27025.0,0.0,7123.0,299.0,9.0,525.0,689.0,1018.0,0.0,13203.0,5265.0,0.0,0.0,70.0,2.0,390.0,0.0,6990.0,3836.0,32.0,0.0,1125.0,0.0,911.0,555.0,37.0,339.0,12.0,0.0,48.0,12.0,1.0,1970.0,0.0,2507.0,416.0,0.0,1076.0,232.0,0.0,0.0,3.0,17.0,1108.0,332.0,4.0,26.0,2.0,178.0,18.0,11.0
IRQ_1990,8.0,279.0,1.0,27.0,372.0,11.0,4905.0,0.0,4.0,935.0,780.0,0.0,577.0,6.0,50.0,458.0,53.0,18.0,1698.0,5221.0,24.0,0.0,58485.0,0.0,3280.0,1975.0,0.0,348.0,7.0,252.0,0.0,20251.0,9754.0,0.0,6.0,87.0,48.0,27.0,0.0,6182.0,12976.0,190.0,0.0,741.0,0.0,341.0,434.0,0.0,19.0,1.0,0.0,17.0,7.0,0.0,5776.0,0.0,1789.0,1105.0,0.0,1292.0,47.0,0.0,5.0,0.0,1.0,2239.0,1011.0,0.0,23.0,0.0,786.0,15.0,55.0
MAR_1990,4.0,169.0,0.0,6.0,356.0,0.0,2853.0,0.0,0.0,904.0,121.0,0.0,193.0,0.0,4.0,114.0,0.0,0.0,2573.0,4372.0,0.0,0.0,31016.0,0.0,6892.0,133.0,0.0,98.0,0.0,38.0,0.0,15522.0,1119.0,0.0,0.0,77.0,0.0,0.0,0.0,7877.0,3068.0,0.0,0.0,44.0,0.0,515.0,275.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2186.0,0.0,2622.0,53.0,0.0,470.0,0.0,0.0,0.0,0.0,0.0,1099.0,68.0,0.0,0.0,0.0,106.0,0.0,1.0
ROM_1990,5.0,138.0,4.0,6.0,649.0,114.0,1750.0,0.0,27.0,779.0,142.0,4.0,121.0,4.0,2.0,798.0,333.0,127.0,6929.0,3243.0,1234.0,0.0,16946.0,0.0,8114.0,47.0,68.0,620.0,521.0,206.0,5.0,9411.0,1621.0,0.0,16.0,51.0,220.0,507.0,0.0,6285.0,1876.0,46.0,0.0,154.0,0.0,1272.0,310.0,68.0,54.0,32.0,0.0,223.0,0.0,20.0,849.0,0.0,2449.0,19.0,1.0,742.0,54.0,2.0,71.0,12.0,1.0,667.0,49.0,1.0,36.0,0.0,36.0,1.0,0.0
NZL_1990,4.0,160.0,0.0,6.0,394.0,0.0,2909.0,0.0,0.0,836.0,180.0,0.0,150.0,0.0,4.0,366.0,0.0,0.0,2955.0,4234.0,0.0,0.0,37599.0,0.0,6142.0,242.0,0.0,347.0,0.0,77.0,0.0,15094.0,2515.0,0.0,0.0,40.0,0.0,0.0,0.0,7138.0,3532.0,0.0,0.0,137.0,0.0,696.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340.0,0.0,2594.0,96.0,0.0,569.0,0.0,0.0,0.0,0.0,0.0,901.0,84.0,0.0,0.0,0.0,72.0,0.0,1.0
DOM_1990,1.0,65.0,0.0,0.0,67.0,0.0,1717.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,159.0,2194.0,0.0,0.0,27668.0,0.0,1844.0,0.0,0.0,11.0,0.0,0.0,0.0,10584.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3999.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
